name,latitude (deg),longitude (deg),area cost factor
"New York, , New York",40.6943,-73.9249,0.9380528649072547
"Los Angeles, Los Angeles County, California",34.1139,-118.4068,0.9999997522124506
"Chicago, Cook County, Illinois",41.8373,-87.6862,0.9115041989193136
"Miami, Miami-Dade County, Florida",25.7839,-80.2102,0.734513092333039
"Dallas, Dallas County, Texas",32.7936,-96.7662,0.769911313650294
"Philadelphia, Philadelphia County, Pennsylvania",40.0077,-75.1339,0.9469024202365685
"Houston, Harris County, Texas",29.7863,-95.3889,0.769911313650294
"Atlanta, Fulton County, Georgia",33.7627,-84.4224,0.769911313650294
"Washington, , District of Columbia",38.9047,-77.0163,0.9203537542486271
"Boston, Suffolk County, Massachusetts",42.3188,-71.0846,1.0353979735297054
"Phoenix, Maricopa County, Arizona",33.5722,-112.0891,0.8230086456261763
"Seattle, King County, Washington",47.6211,-122.3244,0.964601530895196
"San Francisco, , California",37.7562,-122.443,0.9999997522124506
"Detroit, Wayne County, Michigan",42.3834,-83.1024,0.9203537542486271
"San Diego, San Diego County, California",32.8312,-117.1225,0.9999997522124506
"Minneapolis, Hennepin County, Minnesota",44.9635,-93.2678,0.964601530895196
"Tampa, Hillsborough County, Florida",27.9942,-82.4451,0.734513092333039
"Denver, , Colorado",39.7621,-104.8759,0.9026546435899996
"Brooklyn, , New York",40.6501,-73.9496,0.9380528649072547
"Queens, , New York",40.7498,-73.7976,0.9380528649072547
"Riverside, Riverside County, California",33.9381,-117.3948,0.9999997522124506
"Baltimore, , Maryland",39.3051,-76.6144,0.8938050882606859
"Las Vegas, Clark County, Nevada",36.2333,-115.2654,1.0442475288590194
"Portland, Multnomah County, Oregon",45.5372,-122.65,0.991150196883137
"San Antonio, Bexar County, Texas",29.4658,-98.5253,0.769911313650294
"St. Louis, , Missouri",38.6358,-90.2451,0.8761059776020587
"Sacramento, Sacramento County, California",38.5667,-121.4683,0.9999997522124506
"Orlando, Orange County, Florida",28.4772,-81.3369,0.734513092333039
"San Jose, Santa Clara County, California",37.3019,-121.8486,0.9999997522124506
"Cleveland, Cuyahoga County, Ohio",41.4767,-81.6804,0.8230086456261763
"Pittsburgh, Allegheny County, Pennsylvania",40.4396,-79.9762,0.9469024202365685
"Austin, Travis County, Texas",30.3004,-97.7522,0.769911313650294
"Cincinnati, Hamilton County, Ohio",39.1413,-84.5061,0.8230086456261763
"Kansas City, Jackson County, Missouri",39.1239,-94.5541,0.8761059776020587
"Manhattan, New York County, New York",40.7834,-73.9662,0.9380528649072547
"Indianapolis, Marion County, Indiana",39.7771,-86.1458,0.8495573116141173
"Columbus, Franklin County, Ohio",39.9862,-82.985,0.8230086456261763
"Charlotte, Mecklenburg County, North Carolina",35.208,-80.8304,0.7876104243089214
"Virginia Beach, , Virginia",36.7335,-76.0435,0.8141590902968625
"Bronx, , New York",40.8501,-73.8662,0.9380528649072547
"Milwaukee, Milwaukee County, Wisconsin",43.0642,-87.9673,0.964601530895196
"Providence, Providence County, Rhode Island",41.823,-71.4187,1.0265484182003919
"Jacksonville, Duval County, Florida",30.3322,-81.6749,0.734513092333039
"Salt Lake City, Salt Lake County, Utah",40.7777,-111.9306,0.9115041989193136
"Nashville, Davidson County, Tennessee",36.1715,-86.7843,0.7433626476623527
"Richmond, , Virginia",37.5295,-77.4756,0.8141590902968625
"Memphis, Shelby County, Tennessee",35.1046,-89.9773,0.7433626476623527
"Raleigh, Wake County, North Carolina",35.8325,-78.6435,0.7876104243089214
"New Orleans, Orleans Parish, Louisiana",30.0687,-89.9288,0.7610617583209801
"Louisville, Jefferson County, Kentucky",38.1663,-85.6485,0.769911313650294
"Oklahoma City, Oklahoma County, Oklahoma",35.4676,-97.5136,0.7787608689796076
"Bridgeport, Greater Bridgeport COG, Connecticut",41.1918,-73.1953,1.0353979735297054
"Buffalo, Erie County, New York",42.9016,-78.8487,0.9380528649072547
"Fort Worth, Tarrant County, Texas",32.7811,-97.3473,0.769911313650294
"Hartford, Hartford, Connecticut",41.7661,-72.6834,1.0353979735297054
"Tucson, Pima County, Arizona",32.1545,-110.8782,0.8230086456261763
"Omaha, Douglas County, Nebraska",41.2627,-96.0522,0.8230086456261763
"El Paso, El Paso County, Texas",31.8479,-106.4309,0.769911313650294
"Honolulu, Honolulu County, Hawaii",21.3294,-157.846,2.221238387657744
"McAllen, Hidalgo County, Texas",26.2273,-98.2471,0.769911313650294
"Albuquerque, Bernalillo County, New Mexico",35.1053,-106.6464,0.8230086456261763
"Birmingham, Jefferson County, Alabama",33.5277,-86.7987,0.7610617583209801
"Sarasota, Sarasota County, Florida",27.3386,-82.5431,0.9380528649072547
"Dayton, Montgomery County, Ohio",39.7797,-84.1998,0.8230086456261763
"Rochester-LiCycle, Monroe, New York",43.168,-77.6162,0.9380528649072547
"Fresno, Fresno County, California",36.7831,-119.7941,0.769911313650294
"Allentown, Lehigh County, Pennsylvania",40.5961,-75.4756,0.9469024202365685
"Tulsa, Tulsa County, Oklahoma",36.1284,-95.9042,0.7787608689796076
"Cape Coral, Lee County, Florida",26.6446,-81.9956,0.734513092333039
"Concord, Contra Costa County, California",37.9722,-122.0016,0.7876104243089214
"Colorado Springs, El Paso County, Colorado",38.8674,-104.7606,0.9026546435899996
"Charleston, Charleston County, South Carolina",32.8153,-79.9628,0.8141590902968625
"Springfield, Hampden County, Massachusetts",42.1155,-72.5395,0.9115041989193136
"Grand Rapids, Kent County, Michigan",42.962,-85.6562,0.9203537542486271
"Mission Viejo, Orange County, California",33.6095,-117.655,0.9999997522124506
"Albany, Albany County, New York",42.6664,-73.7987,0.9380528649072547
"Knoxville, Knox County, Tennessee",35.9692,-83.9496,0.7433626476623527
"Bakersfield, Kern County, California",35.3529,-119.0359,0.9999997522124506
"Ogden, Weber County, Utah",41.2278,-111.9682,0.9115041989193136
"Baton Rouge, East Baton Rouge Parish, Louisiana",30.4418,-91.131,0.7610617583209801
"Akron, Summit County, Ohio",41.0798,-81.5219,0.8230086456261763
"New Haven, South Central COG, Connecticut",41.3112,-72.9246,1.0353979735297054
"Columbia, Richland County, South Carolina",34.0376,-80.9037,0.9999997522124506
"Mesa, Maricopa County, Arizona",33.4017,-111.718,0.9999997522124506
"Palm Bay, Brevard County, Florida",27.955,-80.6627,0.734513092333039
"Provo, Utah County, Utah",40.2457,-111.6457,0.9115041989193136
"Worcester, Worcester County, Massachusetts",42.2705,-71.8079,1.0353979735297054
"Murrieta, Riverside County, California",33.572,-117.1909,1.0353979735297054
"Greenville, Greenville County, South Carolina",34.8353,-82.3647,0.8141590902968625
"Wichita, Sedgwick County, Kansas",37.6896,-97.3442,0.8938050882606859
"Toledo, Lucas County, Ohio",41.6639,-83.5822,0.8230086456261763
"Staten Island, , New York",40.5834,-74.1496,0.9380528649072547
"Des Moines, Polk County, Iowa",41.5725,-93.6105,0.8938050882606859
