product name,location name,latitude (deg),longitude (deg),year,amount (tonne),amount disposed (tonne),marginal cost ($/tonne),acquisition cost ($),disposal cost ($)
PV Module,"Gila County, Arizona",34.183878,-111.605691,1,1043.1919571396388,195.38,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,2,635.1475282263033,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,3,938.0848234518934,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,4,1348.3910171894743,66.77,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,5,1889.5137976371784,66.77,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,6,2584.086656504568,66.77,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,7,3450.609352143663,66.77,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,8,5268.126672702451,137.05,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,9,5650.134529034386,3.52,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,10,33139.848755122,74.91,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,11,30975.200561733913,135.69,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,12,3428.3997978954376,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,13,24442.302973552665,251.67,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,14,4161.426687001118,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,15,5250.590630202278,3.52,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,16,24716.32864876948,259.22,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,17,5534.057484583687,3.52,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,18,6574.603793505578,3.52,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,19,21935.180965033054,446.49,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,20,19567.47000837299,97.66,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,21,3896.0139332883396,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,22,10661.669373183808,8.45,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,23,3301.891211666294,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,24,3598.759802654417,2.47,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,25,7254.551004661043,4.53,0.0,0.0,0.0
PV Module,"Gila County, Arizona",34.183878,-111.605691,26,2833.5295136471173,2.47,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,1,2179.677543826088,204.58,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,2,1357.1880439458582,11.68,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,3,2048.47538206562,11.68,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,4,3018.090077604651,75.98,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,5,4346.4994174720005,75.98,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,6,6124.939539240654,81.37,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,7,8451.831186632866,81.37,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,8,44351.33118084062,163.91,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,9,11962.765992780014,18.23,0.0,0.0,0.0
PV Module,"San Bernardino, California",35.120104,-117.159039,10,33953.77918267358,91.46,0.0,0.0,0.0
