name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27,amount 28
Snohomish County,47.82099062,-121.4522522,0.00014517707938622784,0.000119673995816,0.0001998772680698,0.0003233377520028,0.0005082187399288,0.0007780477260315,0.0011623930027224,0.0016972457223719,0.0024249089432416,0.0034918794467439,0.0046439505120438,0.0145260843121582,0.0167091436970393,0.0084283135023651,0.0326722725481346,0.012868155458543,0.0164627875921094,0.0823716167194005,0.0176724209494538,0.0217074785806529,0.0486442591652693,0.0607155601329881,0.023849142211423,0.049256279050348,0.0262999024958164,0.029677830663502,0.0461047725947285,0.0312873879171861
San Bernardino,35.12010447,-117.1590386,0.05552605372851473,0.0401264798702245,0.0638729612578947,0.0988913773132874,0.1492317470299635,0.2198559535201122,0.3166286774915563,0.4462048394115613,0.6157799406056034,3.937128009892072,0.8039229584217323,1.6414795747226882,2.017612378208,1.753358550313853,9.104370920337985,2.353986131470037,2.9288728539549997,23.191024821163023,1.814873712031376,2.1792187640492293,6.13444566585908,7.700347509292071,1.4886909381886235,3.3473449250051406,1.5766346204332922,1.7922421101301491,2.998907018326106,1.869139817429603
Warren County,38.79110825,-78.25771359,1.2940772761585093e-06,1.7994416122064756e-06,3.824394924871617e-06,7.635822337809312e-06,1.4413851991512975e-05,2.5886358486054724e-05,4.448839791641714e-05,7.354011353603159e-05,0.0001174354759803,0.0001818267640196,0.0002737780649118,0.0004018442264613,0.0005760091832728,0.0008073906053255,0.0018403123141705,0.0014325086661469,0.0018910338317159,0.0045480203809881,0.0028305869165523,0.0035242219197702,0.0047915444163037,0.0057409566452453,0.0055513027328415,0.0161815142717599,0.0044853077228441,0.004958907513959,0.0115259346119198,0.0037922061895186
Sumter County,28.70869529,-82.19247661,0.002566628997488538,0.0017617109272029,0.0027606945536303,0.0042392935181271,0.006394446658318,0.0094871114966748,0.0138541006955873,0.0199190222642853,0.028201933682669,0.191390250045585,0.0393502260989263,0.0952794690267689,0.119271832207191,0.09966083665335,0.1914268392468383,0.1847130600422516,0.24711365793171,0.4758213281396798,0.3973610831659697,0.501961839345477,0.8516139050139866,1.0588520882396493,0.772738743165113,1.433193529100202,0.9179672183918892,1.0453230378671732,1.4898467699521476,1.170931853995974
Palm Beach County,26.67709172,-80.56373053,0.0014466756080905958,0.0009376455365203,0.0014226813127417,0.0021081878796767,0.0030593956259355,0.0043559477384335,0.0060919660652054,0.0083748675669311,0.0113231112628117,0.1200910439661672,0.0095880102183327,0.0212983718482343,0.0274192121151041,0.0258829328355894,0.0519493051437567,0.0484306661579093,0.0652580736695168,0.1314368249449538,0.1060741565572707,0.1353502503476019,0.1824369263696375,0.22430213797154,0.2396430670414719,0.5337427460714411,0.2638758274492373,0.3058247428327618,0.5048839793691358,0.342745887345162
Midland County,43.57419001,-84.55437763,2.852745521654325e-05,3.504908167692535e-05,6.924742145189393e-05,0.000129675322287,0.0002316837424201,0.0003970810807905,0.0006558419204862,0.0010479587429537,0.0016253271471702,0.0024534603478614,0.0036126854786199,0.0051982798045803,0.0073187711524272,0.0100913953169926,0.0328708562270788,0.0166040389534759,0.0217092152262131,0.0830797313367235,0.0281915459065769,0.035428963679083,0.0567486419833178,0.0700128206627991,0.0551737858069084,0.1363669974975362,0.0572446714045309,0.0671381221935877,0.1223413618724085,0.0757718528387279
Cass County,42.06225929,-85.90993949,3.039447124476757e-06,3.82445297783616e-06,7.512692861258606e-06,1.3886116843029632e-05,2.4377971345844986e-05,4.094981805212569e-05,6.620407471886608e-05,0.0001034936856756,0.0001570130896191,0.0002318442954364,0.0003339174472542,0.0004698270195925,0.0006464249268388,0.0008700961846036,0.0026261099172212,0.001363350120451,0.0017223687498638,0.0063761462409238,0.0020317615231023,0.0023994742805196,0.0080046936500636,0.0101010814980328,0.000814056749384,0.0018670779364895,0.0009775499125919,0.0012208566003353,0.0020868872696845,0.0018157993753117
Cass County,40.72939342,-86.25965362,0.00013368490973842334,0.0001106607526746,0.0001857174719429,0.0003022115112788,0.0004781960294159,0.0007373684008175,0.001109923439855,0.0016331725974696,0.002351741322578,0.0033171208896678,0.0045863380888343,0.0140441020929969,0.0162768511291231,0.008687323735181,0.0286665664371632,0.0138785073962614,0.017870387503942,0.0715312655252477,0.0217277287351995,0.0266209250884396,0.0585336938297648,0.0728133439831915,0.0291654730911702,0.0666123936310336,0.0296677937220247,0.0331091867945939,0.0565519021536987,0.0319387599297316
Hamilton County,39.94240296,-86.10103966,0.00021714474679046373,0.0002294572707436,0.0004171212282031,0.0007212585358491,0.0011948210656739,0.0019070133529704,0.0029456385235739,0.0044187134010904,0.0064545887030643,0.0091994310649537,0.0128104649578726,0.019529458764099,0.0253617025429426,0.0296752751757975,0.1910262715498084,0.0355724155238666,0.0434229569146152,0.4916318649312426,0.0061029268852703,0.007366880897324,0.020295733004999,0.0255145693657545,0.0055693617732338,0.0127223562553335,0.0062192304892706,0.0073490742748304,0.0123822157207098,0.0087685699993544
Lawrence County,38.87073858,-86.34789005,1.1297041016942669e-05,1.557513023258285e-05,3.2356735337563735e-05,6.305543134166937e-05,0.0001162941071196,0.0002044759363247,0.00034482344645,0.0005605117840569,0.0008818268151297,0.0013472208551333,0.0020040519283328,0.0029086710566411,0.0041253671842095,0.0057235069201934,0.0120299636592976,0.0100107772068732,0.0130601352997747,0.0288956889379683,0.01928513585992,0.0236095188700559,0.0502076845719354,0.0622337518489561,0.0264259149837548,0.0645784054558818,0.0251840584772835,0.0278311655185173,0.0513137379149309,0.0247550632334182
McLean County,37.49153121,-87.22032662,4.0884470036719043e-07,5.548005834160787e-07,1.1552881239432154e-06,2.260852750745352e-06,4.188137798889235e-06,7.392313570001413e-06,1.2503837577732105e-05,2.0367679452368405e-05,3.2082157803955947e-05,4.903238550108285e-05,7.291010638374882e-05,0.0001057072162943,0.0001496645089324,0.0002071507307237,0.0005002274687819,0.0003548539719248,0.0004613660851519,0.0012175067922864,0.0006498497896732,0.0007922371250389,0.0012574876885101,0.0015063822049019,0.0010511591817324,0.0035625730571449,0.0006860008836743,0.0007969414466049,0.002478350739705,0.0008896479632908
Jessamine County,37.83050346,-84.51931615,2.5991044432877802e-06,4.028092259371578e-06,8.73981342461306e-06,1.7561389082480136e-05,3.310495440536203e-05,5.91454709764022e-05,0.0001009553241596,0.0001656820782152,0.000262753354197,0.0004042755560212,0.0006053666891093,0.0008843256307889,0.0012624904325744,0.0017635803408212,0.002635027510079,0.0032149252752831,0.0042198858345744,0.0060611946896378,0.0067328305458338,0.0082712764397431,0.0182638143762916,0.0227964103699668,0.0093248709239954,0.0250260441975779,0.0093322675956851,0.0111391762821257,0.0218955732498693,0.0127824791401029
San Diego,33.03174695,-116.7176058,0.008470161416238443,0.0054940515292631,0.0082985156705374,0.0121917591708449,0.0174612795847433,0.0244171318107507,0.0333676265105714,0.0445817805302463,0.0582387617595546,0.6978896428074979,0.0325764459383197,0.0686852569493511,0.08465012632491,0.0727581322392549,0.3258253057069804,0.1049599363054096,0.1327156366558205,0.8259770489337958,0.1172708076071531,0.1431100860751463,0.3405486544041045,0.4255458256206677,0.1419736522120234,0.3243908886806256,0.148990967569104,0.169341487127152,0.2871969970834415,0.1742534805692241
Knott County,37.37099172,-82.8503912,1.481754280736248e-07,2.0474009543037097e-07,4.317543449811726e-07,8.54691126839008e-07,1.5993725509022382e-06,2.84786609737018e-06,4.853764289808543e-06,7.958633586971355e-06,1.2608544762713784e-05,1.9368752019130556e-05,2.8933311532446205e-05,4.212462232522631e-05,5.987551275526223e-05,8.318375971591792e-05,0.0001941221016407,0.0001441271038381,0.0001880430615028,0.0004727080263381,0.0002699552609941,0.0003300146688383,0.0004756218470992,0.0005628194016787,0.0004600839680558,0.0015662540855662,0.0002654552587627,0.0002686602888179,0.0009243357642667,4.286067105615367e-05
Cuyahoga County,41.28166353,-81.83937601,0.00022096833176032227,0.0001682640504956,0.0002695330239291,0.0004181726000642,0.0006305642287937,0.0009264955101287,0.001328922649695,0.0018631904066441,0.0025555273236318,0.0036048947460944,0.0044919695156422,0.0205336343319499,0.0223712259544846,0.0049927018058892,0.0204741928126037,0.0075168641276731,0.009611804717561,0.051855309148231,0.0098507841971701,0.0121532369827606,0.0223853222706573,0.0275478638871123,0.0158929684450055,0.0441018051568296,0.0141821045868383,0.0161615484344182,0.0342095265218696,0.015138115977595
Delaware County,40.17734323,-82.81856565,0.0014049105482882014,0.0009386265980917,0.0014280747284008,0.0021086939006969,0.0030296982641966,0.0042430886596905,0.005798846183247,0.0077375362013299,0.0100801982928491,0.0883043247456729,0.0085997409089795,0.0417798440024558,0.0451056505558952,0.008062502696182,0.042001634200259,0.0112173308448296,0.0142863476819151,0.1081263304710982,0.0108657477325479,0.0140436278683636,0.0267476298650849,0.0342613579142488,0.0233375652693868,0.0454055675397044,0.0327791405572474,0.0411163086328804,0.0606801379507304,0.0585474541233331
Greene County,39.78941957,-83.9413805,0.00017591693301609513,0.0001203611125987,0.0001851664774575,0.0002765793172181,0.0004022070660684,0.0005705622367043,0.0007905848565901,0.0010708307451103,0.0014182856812379,0.0101463534496785,0.0015231075411942,0.0066273150638813,0.0072518995382801,0.0018137928239023,0.0092533818930937,0.0025576473952437,0.0032638002784313,0.0238054569620302,0.0025921879691924,0.0033129157592624,0.0050836016004328,0.0063326719317319,0.0056335339754014,0.0099306130396052,0.0070356746586185,0.0081778216513283,0.011398140492206,0.0101205314581011
Clermont County,39.20877458,-84.23150769,7.150331034420286e-05,5.634417216502755e-05,9.265914867031932e-05,0.0001487536476623,0.000234006311924,0.0003614904027774,0.0005489444573523,0.0008197906089132,0.0012041397932555,0.0017397166441306,0.0024726440115708,0.0080011168933615,0.0094057429128275,0.0052213284924027,0.0151302265392789,0.0094353570559879,0.0127834995268321,0.0394521312352551,0.0193824188047566,0.025191319351007,0.0332823381474062,0.0414636133287647,0.0476128356198975,0.0588252223198282,0.064232987919279,0.0718773745537459,0.0796452750223218,0.0820068481990935
Allegheny County,40.37731547,-79.86635294,0.0004726898869227782,0.0003549052323173,0.0005639857570973,0.0008672367490287,0.0012949071099763,0.001882345263166,0.0026688964192014,0.0036955988920808,0.0050013336613654,0.0091606034689206,0.0083138744950944,0.0401155089235195,0.0433012476351502,0.0077860022232612,0.0422357719776345,0.0104836700737697,0.0131902677919806,0.1084561648979618,0.0083183192325007,0.0105120677013841,0.0202778604283737,0.0255343523092101,0.015383490700798,0.0301973618040811,0.0194528006030293,0.0233247973135823,0.0347521570199252,0.0300031278974894
