name,latitude (deg),longitude (deg),area cost factor
Washakie County,43.8356,-107.6602,0.88
Platte County,42.1314,-104.9676,1.29
Park County,44.4063,-109.4153,0.99
Goshen County,42.0853,-104.3534,1
