p code,long,lat,cSi waste [tonne],CdTe waste [tonne],Total PV waste [tonne]
p60,-100.4747257,33.42197646,61484.86,11871.82,73356.68
p61,-102.5121274,30.79490767,135844.08,24901.44,160745.52
p62,-102.3887614,31.77998214,65788.70,11799.69,77588.39
p63,-97.11815228,32.37182664,52283.37,10895.78,63179.14
p64,-98.02819061,30.14290618,12054.38,2104.51,14158.89
p65,-98.36237296,28.14593418,18467.55,3536.02,22003.57
p66,-94.49850005,30.68456443,1301.38,249.50,1550.88
p67,-95.42461309,29.5703565,62842.38,14667.99,77510.37
p68,-93.84641518,43.85294596,6169.21,803.92,6973.13
p69,-92.11168489,42.91269261,4490.04,1084.01,5574.05
p7,-118.790355,43.19860125,9878.83,1722.32,11601.15
p70,-92.68514792,41.53491879,3643.01,683.50,4326.51
p71,-92.01395166,39.96993092,558.68,121.15,679.83
p72,-91.3675038,38.4997353,4003.71,1043.22,5046.93
p73,-91.06236394,37.67809039,947.70,180.25,1127.95
p74,-88.25976999,46.39589899,144.21,28.66,172.87
p75,-88.88363925,45.19646292,551.32,105.98,657.30
p76,-89.11741448,44.06230241,4937.34,1051.09,5988.43
p77,-90.49937312,43.41560313,10460.07,2394.27,12854.34
p78,-89.33478091,42.83835582,897.39,152.74,1050.13
p79,-88.23565775,43.07262373,1229.84,250.66,1480.50
p8,-121.4464046,41.30824779,5542.59,1153.40,6695.99
p80,-88.79751098,41.76580781,7690.34,1237.88,8928.22
p81,-89.78363058,39.3367648,4107.58,862.29,4969.87
p82,-89.52274432,40.36595616,43514.04,10193.36,53707.40
p83,-88.32037463,39.76077104,37410.51,8773.02,46183.52
p84,-91.29205837,37.05321965,1005.96,236.82,1242.78
p85,-92.02589394,34.68125955,7832.99,1221.50,9054.49
p86,-91.92922355,32.56645631,255.45,54.04,309.49
p87,-89.94310381,32.31228173,21867.11,3667.28,25534.40
p88,-88.95057971,33.90483098,421.51,70.95,492.46
p89,-87.33420755,33.64251888,9143.29,1763.44,10906.72
p9,-121.4370073,38.40912626,529266.15,106031.17,635297.32
p90,-86.45223669,32.1705336,7783.69,952.40,8736.09
p91,-86.0233856,30.60299528,62937.89,13190.44,76128.33
p92,-86.38840824,35.84707003,54630.95,12156.44,66787.40
p93,-87.70288407,36.88033989,16271.79,3732.07,20003.85
p94,-83.44185834,32.65498374,120322.56,20728.74,141051.30
p95,-82.05850213,34.68340161,106865.42,25363.74,132229.16
p96,-80.47018517,33.66656218,112714.23,21838.47,134552.70
p97,-81.46948528,35.70354545,71273.59,11902.50,83176.09
p98,-78.0631739,35.43899188,269859.92,45386.23,315246.16
p99,-78.02222606,37.64107262,71983.48,13997.71,85981.20
