,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,state
0,"Snohomish County, Washington",47.82099062,-121.4522522,58087.22322737084,57038.004841761554,2933.4079989555057,2905.178279979524,5974.783696118122,5903.128252905593,4686.030877725319,4644.519060306999,19546.23267033215,19449.939333803697,2425.3154725243544,2415.777078660807,1980.95174825854,1974.0021710303251,2254.713832356043,2247.5746484650613,2470.832018747,2463.703187469406,2277.5921514622337,2271.556731756112,861.5951813280442,859.4841741829212,2912.139955540803,2905.5051204408023,3653.242510963202,3645.464506708039,Washington
1,"San Bernardino, California",35.12010447,-117.1590386,286980.7081495048,281797.03059399466,253037.5707425924,250602.45789263365,213907.72903601493,211342.3385699769,162514.9560920515,161075.2960981092,100345.29795823868,99850.95289910064,64209.41934234328,63956.893541730846,27638.09555626816,27541.135557278834,18906.7484682534,18846.88333053241,37647.38744196263,37538.76740179816,23024.66252846776,22963.64918950718,186237.55401149637,185781.2506155065,121027.42668000178,120751.68546190843,44374.36514253111,44279.88907096921,California
2,"Warren County, Virginia",38.79110825,-78.25771359,172.4137848595488,169.29950769227878,54379.80809415575,53856.482767091664,747.1934399184461,738.2323662083406,700.5532609812393,694.3473182931754,592.8819693017967,589.9611720333655,462.3190511255892,460.5008211879938,408.7130491670041,407.2792015723506,320.9427837954029,319.9265707757644,327.3915089133856,326.44692068923604,257.35873248784645,256.6767543889131,554.3155331655139,552.9573964482663,1039.5835405712116,1037.215019322348,102265.04402213274,102047.3147185972,Virginia
3,"Sumter County, Florida",28.70869529,-82.19247661,90365.5746026074,88733.31853954728,73163.71541027293,72459.62272149384,791456.0963778895,781964.1816486482,301705.0201981212,299032.3268165671,709489.1402651995,705993.884800931,194030.87890806643,193267.78521337733,297529.61541291466,296485.82166992687,13319.17754700482,13277.004541978567,87088.82392352606,86837.555716216,399693.1787521384,398634.0268377386,467445.47188807314,466300.1767976453,12458.561691023711,12430.176893704527,43616.71679671852,43523.85381052939,Florida
4,"Palm Beach County, Florida",26.67709172,-80.56373053,20388.347338270483,20020.076526016863,208436.27954515672,206430.3882412352,126344.97736468838,124829.72496205736,26260.183681497543,26027.554409774304,14652.971462536025,14580.78448226307,667777.4588353655,665151.1924845634,144624.11172666837,144116.74124962874,5723.856957160751,5705.733296944347,5523.475311261425,5507.539009942203,2919.127403034156,2911.39197110371,2141.193264800466,2135.947095393952,2284.784897806383,2279.579388707457,21557.00216593296,21511.105827523446,Florida
5,"Midland County, Michigan",43.57419001,-84.55437763,3455.537444676292,3393.1207337771693,50184.743514156144,49701.78948703453,14775.704235483929,14598.499555010098,17921.645575228293,17762.884333920418,18793.27288255584,18700.68895701515,17367.763274701036,17299.458524857284,218433.2543722705,217666.94657511957,13459.678929853995,13417.061050096989,11515.703803372118,11482.478756572456,9913.348652148366,9887.079146534545,13534.886995667845,13501.72496809911,13799.027586015976,13767.588756161873,11289.489027751157,11265.452930111058,Michigan
6,"Cass County, Michigan",42.06225929,-85.90993949,202.4332424814063,198.77672960182505,423335.6960044344,419261.715250662,711.0393909583493,702.5119119244573,806.2542473101884,799.1119386100522,14743.229684611284,14670.598052650235,770.8082888578128,767.7768180509408,677.54169594576,675.1647433796767,692.9961275579403,690.8018682602071,665.5442548770837,663.624030165411,660.5670553403721,658.8166105030659,867.3191456704201,865.1941141552832,16939.468016019695,16900.874205734526,745.5623021620854,743.9749488064559,Michigan
7,"Cass County, Indiana",40.72939342,-86.25965362,1210.0129314508813,1188.1566996676238,2855.7630322041614,2828.2805313417443,5834.271770751339,5764.3014838224335,17895.435460413428,17736.906404835667,6491.836153924858,6459.854514598202,6358.318772108846,6333.312479341815,6370.978933851124,6348.628258142317,5978.645838386952,5959.715430702045,6249.187950151981,6231.1578266225015,19484.655102176737,19433.02247282509,31911.00045188817,31832.814835926238,239617.37816334385,239071.4491161553,5448.03205087426,5436.4328164005565,Indiana
8,"Hamilton County, Indiana",39.94240296,-86.10103966,303.28235839237044,297.8042272513681,764.6121008583705,757.2538388162163,5681.929140817914,5613.785895539928,1989.189872774496,1971.5683741195255,1936.803589173828,1927.2620430893533,1859.3907118928696,1852.0780133358471,1990.325195995692,1983.3427348272196,1968.204824783664,1961.972824971712,2195.282738650175,2188.948920676428,2214.9252323420296,2209.055874482555,269931.77435920126,269270.4105114024,2984.3119552762805,2977.5126880664257,1399.491437032416,1396.5118236288065,Indiana
9,"Lawrence County, Indiana",38.87073858,-86.34789005,920.6671203283502,904.0372865025312,2089.5778844174797,2069.4687838503114,4362.910225379143,4310.5859435647,4858.188936568002,4815.152034468798,5032.664932805785,5007.871812505667,4984.767137938296,4965.16281313257,4998.980924621078,4981.443493924662,4598.080825064327,4583.521751498243,4368.152872130946,4355.54990091158,3884.984184345778,3874.689316544658,4244.624091526872,4234.224275023995,4031.759578048093,4022.5738725629208,2865.5201598825665,2859.419270623248,Indiana
10,"McLean County, Kentucky",37.49153121,-87.22032662,0.0,0.0,176560.1417784551,174861.01121545807,485166.2522696499,479347.6645840856,46.232176085992336,45.82262230740844,725.7676380793497,722.1921875772633,83.69799015809784,83.36881879678036,110.1177837059082,109.7314683689815,138.65719754445553,138.21816212591474,18269.105364498755,18216.395439765736,210.7034832428692,210.1451374678822,44255.54805610857,44147.11688079282,380.7587970602547,379.89130034995327,777.8430487050996,776.1869674226439,Kentucky
11,"Jessamine County, Kentucky",37.83050346,-84.51931615,21121.690576792585,20740.17352610529,15.997833553826016,15.843878036690375,87.08559010678141,86.04117463102446,63671.9332932742,63107.88714451625,605224.6260818357,602243.0234590928,288.0995110161682,286.9664598155723,104656.12777483874,104288.97302560449,122569.12652806396,122181.03136446328,298652.7407195476,297791.06943512737,1115.7678698221544,1112.8111826977024,134943.38893911155,134612.76213848518,2424.489305140315,2418.9655023743408,3938.816863944757,3930.4308522753618,Kentucky
12,"San Diego, California",33.03174695,-116.7176058,39574.23157408565,38859.4098102468,2624.368777494128,2599.113104534765,3983.306397388742,3935.534695537572,4639.761995420398,4598.660056947505,2823.534199389608,2809.6242284275763,49457.85692559862,49263.34675801524,1425.0255346677222,1420.026258428885,3833.187378939479,3821.050215812996,3415.015177750945,3405.162194291166,2746.9561154669464,2739.6769223679976,3661.403979777041,3652.433119528521,1982.1007076789288,1977.5848150543247,2445.998648944889,2440.790949800218,California
13,"Knott County, Kentucky",37.37099172,-82.8503912,0.0,0.0,0.7981790494159792,0.7904977550765788,27066.118167360288,26741.514835764385,17.868063391246736,17.70977681472369,6582.820664513469,6550.390795482155,32.64433419201501,32.51594903121255,1557.7906351364957,1552.325592217713,59.06696355423346,58.87993764050364,78.62738037178512,78.40052507599137,430.2537695384332,429.1136347352647,134.4219079629642,134.09255885061947,175.48102390390204,175.08121906122398,12682.90549835248,12655.902721329609,Kentucky
14,"Cuyahoga County, Ohio",41.28166353,-81.83937601,1538.6692963930568,1510.8766076492889,2495.666496657686,2471.649393041857,4112.144282047529,4062.827430413984,70457.24399659173,69833.08928551474,25042.24992992552,24918.880795801168,28862.17603725376,28748.665524530323,115894.7080944362,115488.12614464785,3705.542723103534,3693.809725977028,4126.746135100514,4114.839669303011,137665.90394481222,137301.10135757283,4862.18784947002,4850.274930835376,263264.39482366433,262664.5899124913,5493.322619844567,5481.626958638416,Ohio
