state,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
,"Capitol Region COG, Connecticut",41.60246114,-72.75108047,10246.80259752252,10061.716565144174,11373.989742424572,11264.531891972583,89422.76323191283,88350.3180927131,3336.33606599562,3306.780696594172,12384.424936731417,12323.41381411472,5748.989293186144,5726.379399827137,6090.784703210184,6069.417005227334,1496.8283831258236,1492.088919994393,33193.29026630672,33097.52116340484,67115.28048523123,66937.43087060098,1588.7166595252656,1584.824121251474,2188.0744456893053,2183.0892755548643,119049.4921809288,118796.0276343022
Alabama,"Walker County, AlabamaLowndes County, Alabama",65.81305248,-173.78644424,1583.3310098383838,1554.7316051203265,3325.5270323098193,3293.5237468471205,6083.007874793487,6010.054501499518,17554.861634102555,17399.34959630897,3658.661741240012,3640.6375648048397,123170.45044725091,122686.03995219333,317993.1297045483,316877.54583691177,2636.330648847167,2627.9831375002905,394499.73761225765,393361.52908688865,53812.891231028385,53670.2917827599,8362.648200143147,8342.158751635041,10320.23950469204,10296.726525112932,7761.212578011604,7744.688423298129
Arizona,"Mohave County, ArizonaGila County, ArizonaApache County, ArizonaPima County, Arizona",137.29646311,-446.5512627,212483.8939597876,208645.83808791716,71717.04530784574,71026.87468188812,113621.51449877668,112258.8542931565,206692.2179156326,204861.20786986308,5986.519017036411,5957.0267921118375,133588.2394811398,133062.8574192415,105181.59505894904,104812.59686477718,18076.146308435844,18018.91113708757,195036.23434525964,194473.51684883935,22884.176075174768,22823.535013010147,280434.4935955079,279747.3968793835,19142.848316839056,19099.23446452921,3648.851373471328,3641.0827182495227
Arkansas,"Johnson County, ArkansasLonoke County, Arkansas",70.17415411,-185.61652981999998,628.6163302602895,617.261753908419,1777.3624816916454,1760.257993194146,4871.918135517163,4813.489333563638,7120.052839373024,7056.978920060672,8730.937718965724,8687.925280806352,33605.140961830126,33472.97709532895,92684.26342023644,92359.10837946105,29812.470839028465,29718.074508766927,2003.3879222510018,1997.6077581714799,1833.6385978628823,1828.7796161877204,4433.134700271735,4422.27301112772,3257.4572099813527,3250.0356259354303,4391.286275883744,4381.936925755204
California,"San Bernardino, CaliforniaSan Diego, CaliforniaCAL Fire Lassen Modoc Plumas Unit, CaliforniaSacramento County, California",147.86922547,-476.7600563,339318.96462160576,333189.9111656793,312869.1534588239,309858.250004023,347069.6180109819,342907.22007842787,301636.65593690163,298964.56816909683,363063.7986334686,361275.18672381015,279463.4934907395,278364.4064228526,151340.10353784985,150809.17201052373,44136.05893287777,43996.30929528594,61714.80177083501,61536.742556037585,51322.5882920181,51186.58792841131,327390.4300216339,326588.2858685581,163204.01857733828,162832.18488546583,87270.43580353107,87084.63105090577
Colorado,"Grand County, ColoradoCuster County, Colorado",78.13920017,-211.1419215,57416.05039560617,56378.95527628306,125097.9425660027,123894.05965426005,10552.084791004554,10425.533881219006,35139.001780662446,34827.71833754332,9821.14002040852,9772.756766354982,23616.57398532216,23523.693621125603,13172.7071502996,13126.494643747566,65064.63020724137,64858.613659517054,2411.2920253858492,2404.3349785775035,2615.8685120522487,2608.9366896203333,3332.963910220265,3324.7977658622303,5798.0145169034,5784.804688112766,4377.250105012635,4367.930638856055
Delaware,"Kent County, Delaware",39.04284209,-75.53282965,1665.7156592536471,1635.6281563953132,2970.25360079798,2941.669297329872,1805.780935546779,1784.12424639075,1352.0242726805818,1340.047188829206,255290.44470619276,254032.77172546,915.8348546215996,912.2330165694748,871.9140718314407,868.8552218701096,730.5913560232723,728.2780575616392,694.7905874441353,692.7859813707281,1343.941034952223,1340.3797089259592,5772.2665454353055,5758.123829476535,782.7568120278629,780.9734285193454,392.0392450072529,391.2045665245881
Florida,"Sumter County, FloridaPalm Beach County, FloridaWalton County, Florida",85.98878229,-248.77959274,712990.0724281912,700111.4693346964,285421.36998210364,282674.61089942465,923711.2764686209,912633.2284116222,333501.74809952074,330547.3792451444,725219.1878664867,721646.4392713001,939162.3619184119,935468.7803570521,472070.2599974064,470414.14256199717,20704.1543649002,20638.59803433746,94061.7869851971,93790.40042229088,406584.935509466,405507.5210433111,471330.9900522901,470176.1749961232,16653.404211421293,16615.462150777472,67001.76435377247,66859.11299496364
Georgia,"Twiggs County, Georgia",32.65498374,-83.44185834,1453.403273236136,1427.1507283345663,2872.349404251347,2844.70728405814,353041.4221213688,348807.40447970515,3222.2217205070065,3193.677247960134,216383.6112123761,215317.6104006012,4570.344299914716,4552.369836584702,5369.456756359133,5350.619621918742,6276.114585706292,6256.242291712595,7270.53221848935,7249.555317959219,262707.7708473185,262011.6182652571,12050.70342265101,12021.177815288898,41241.34597104535,41147.38430230777,14193.08923115602,14162.87116922814
Idaho,"Kootenai County, IdahoCuster County, IdahoBingham County, Idaho",135.10691129,-344.2799949,1586.5064395914803,1557.8496776940974,2375.7110583631847,2352.848348651613,4011.71301356824,3963.6006318236978,87679.86382010645,86903.14027876903,64723.48655556688,64404.63020215562,2132.2065291259532,2123.8208877924317,2884.4634264030824,2874.3441484543036,1063.4950302592174,1060.1276465676767,1083.6073035683476,1080.4808855926635,1034.0431428979296,1031.3030191415232,423.3383742376234,422.3011466019686,5150.86373270466,5139.1283312436,763421.4112538617,761796.0346281942
