state,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
Illinois,"DeKalb County, IllinoisMacoupin County, IllinoisTazewell County, IllinoisDouglas County, Illinois",161.22929981,-356.42426051,684336.3856834997,671975.3486445975,8740.517690020437,8656.403118102136,77215.34640111683,76289.30453071812,15728.347217678098,15589.015596733014,91532.61967561397,91081.68974459289,201122.6194634474,200331.6350405781,6493.89532491978,6471.1134337848025,3719.1897986872277,3707.413590320001,2941.077669288243,2932.592087783887,3947.403450695511,3936.943177305894,5558.332729987159,5544.714176445706,6237.954375295243,6223.742215415131,420239.224533433,419344.506357238
Indiana,"Cass County, IndianaHamilton County, IndianaLawrence County, Indiana",119.54253496000001,-258.70858333,2433.9624101716017,2389.9982134215234,5709.953017480011,5655.003154008272,15879.111136948397,15688.673322927061,24742.814269755923,24523.62681342399,13461.30467590447,13394.988370193221,13202.476621940012,13150.553305810232,13360.285054467893,13313.414486894198,12544.931488234943,12505.210007172,12812.623560933102,12775.65664821051,25584.564518864543,25516.767663852304,306087.39890261635,305337.4496223526,246633.44969666822,246071.53567678464,9713.043647789242,9692.36391065261
Iowa,"Sac County, IowaChickasaw County, IowaPoweshiek County, Iowa",126.86696296,-279.82317744,1105.0769391683132,1085.1161461114698,2341.6984607885734,2319.1630720877556,78073.32299434123,77136.99143042715,2543.044370240675,2520.516479081034,15567.348108214355,15490.656506537307,3105.415255570224,3093.2021335442196,3465.8822335311124,3453.7232214466458,3623.713129523362,3612.239232468851,3816.0069837102506,3804.9970608443564,50304.975080941964,50171.67130321138,2128.9943346719583,2123.7780540452586,2270.9175748723032,2265.743660203023,460937.21640154097,459955.84940502344
Kansas,"Logan County, KansasMcPherson County, Kansas",77.15927445,-198.51731543,124360.00057256664,122113.70970539305,1837.0116590293826,1819.3331353093736,3244.615863581049,3205.703260282899,3048.8579032059374,3021.8491967089544,2618.147944414264,2605.2497964516933,2700.758962807107,2690.137291931877,2759.370564110649,2749.6901370869186,2771.8527081894285,2763.076088328183,3050.915165854652,3042.1126817947857,2899.9133991838817,2892.228882680677,3703.7248743658783,3694.6503230652265,7714.418377632321,7696.842335749233,6063.675828397682,6050.765846031696
Kentucky,"McLean County, KentuckyJessamine County, KentuckyKnott County, KentuckyTrigg County, Kentucky",149.57336628000002,-342.29291804,169808.60189472238,166741.38164828107,176583.8797490822,174884.52074318187,512380.483616542,506235.5162814321,63817.727753018204,63252.390064970095,612653.7835864713,609635.5816672919,573.0419377210808,570.7882516483883,518401.94857186574,516583.2902526897,182152.34244791995,181575.5867416093,382537.02803457103,381433.3342546624,47724.04823418271,47597.583686531536,216443.60442255117,215913.2927340063,3667.059029161392,3658.7042342916743,18794.61756653976,18754.602534696674
Louisiana,"St. Landry Parish, LouisianaOuachita Parish, Louisiana",63.407005940000005,-183.94072583000002,13991.524100757517,13738.797881228185,179202.85825833486,177478.2954528449,177862.5844981373,175729.48262008606,7287.281083650909,7222.725751064769,81941.873307643,81538.19161024042,150473.80301596873,149882.0126218645,3396.2056002121726,3384.2910277737906,5487.461705894986,5470.086552715493,4143.520997381307,4131.566132841194,9602.192808364567,9576.747838482499,7335.010111664229,7317.038494493151,117250.17224817169,116983.03688716919,1185.4581950982533,1182.9342731691393
Maine,"Piscataquis County, Maine",45.39211237,-69.24794622,737.7568424885302,724.4308819719107,17561.82505797647,17392.818432826294,2696.8381211547594,2664.4950037010944,1570.9626125217612,1557.0460347518626,1770.382927345055,1761.6612426151978,877.9330497710146,874.4802737056289,6133.568056466754,6112.050265874228,923.6786818596162,920.7540038488884,963.0871973319988,960.308503319902,958.2023731586748,955.6632207991528,979.9848608979148,977.5837854412496,947.257403091184,945.0992318622204,33470.43706865077,33399.176208973135
Maryland,"Allegany County, MarylandAnne Arundel County, Maryland",78.62852014,-155.78313863,5946.908701747401,5839.4908290942485,31535.703637849907,31232.219072551346,248303.47373948107,245325.5758996692,10956.17302120862,10859.116329537672,30637.37327577986,30486.440103902172,3050.2141924123644,3038.21816770341,3212.3429378291803,3201.073392596905,2196.7007055360586,2189.745210756535,1895.9331521234794,1890.463015969935,110348.7237725692,110056.30932006294,538759.8745154219,537439.8509483743,100469.36354159279,100240.46051156084,210086.6619793,209639.37304462778
Massachusetts,"Worcester County, Massachusetts",42.31304362,-71.90533052,1821.458421738299,1788.557767196249,3065.56174998238,3036.0602463605405,140572.8029647771,138886.91657752384,4788.580275880095,4746.16001120574,137569.71481890237,136891.98591489275,172091.06904240936,171414.26125574362,3047.6099092158324,3036.918280586216,2542.0131884988887,2533.9643180189337,2844.855382070976,2836.647420593197,2553.930565092168,2547.162872794525,3734.571971176226,3725.42184094572,3539.108403365682,3531.0451230921226,52342.27718509636,52230.836881462295
Michigan,"Midland County, MichiganCass County, MichiganIron County, Michigan",132.03234829000002,-258.72408711,3676.1117955361124,3609.7108923919914,473562.2053372042,469004.8686219995,15561.61787904389,15374.987754349768,18809.01856580713,18642.39641480232,33636.144342647756,33470.43790594794,18244.23761387878,18172.48582485473,225898.4248057633,225105.92768901135,18777.953782428038,18718.496452089563,15210.343128480523,15166.458328132088,360929.77446350513,359973.3421751673,14646.470671468716,14610.58513623319,31024.837964757437,30954.15294032764,12270.100381208182,12243.976494636207
Minnesota,"Beltrami County, MinnesotaAitkin County, MinnesotaLyon County, MinnesotaBlue Earth County, Minnesota",182.56693873,-378.73158097,5078.417623797107,4986.68713911146,8331.724496350545,8251.543955082157,12628.075326513681,12476.627110065205,132785.71919194752,131609.41953138442,3095.213331956491,3079.9649501312897,96283.61777424953,95904.94906935646,2909.7736179437097,2899.5655467515176,3857.1092757414444,3844.8963678273794,3828.0141309069218,3816.969565084386,2606.1833261875686,2599.277168649864,3606.7287073957027,3597.891807843762,39119.16926305295,39030.04262722095,9810.783985287757,9789.89615225859
Mississippi,"Rankin County, MississippiChickasaw County, Mississippi",66.21711271000001,-178.89368352,96042.12398177141,94307.33349471027,56717.93022715356,56172.103928260956,193831.80191713775,191507.18158250043,201995.83696392537,200206.43042305828,137068.12818307112,136392.87031537516,286646.09409668855,285518.7589619748,6169.812585455762,6148.167641764465,3913.96319374584,3901.5702671661134,80210.38762541417,79978.96504558946,4906.348126076597,4893.346733291585,17550.588121058827,17507.587164545163,8020.190235187056,8001.917542083878,11380.224143362122,11355.994864428096
Missouri,"Caldwell County, MissouriDade County, MissouriKnox County, MissouriFranklin County, MissouriIron County, MissouriShannon County, Missouri",230.27756898,-553.30206866,7044.18581197476,6916.948033080737,39561.67247393949,39180.949813962856,37394.99483978273,36946.51752822486,39086.11929392462,38739.869794069076,159965.3666086476,159177.30687665005,176793.77264913186,176098.46985027796,41069.95935816163,40925.8776789536,10651.203643163342,10617.478342693887,10568.971048791564,10538.477510253555,61565.37022474853,61402.22738618958,14268.613111462078,14233.653370644048,133668.6105302603,133364.06844009497,14398.949293391152,14368.292941249794
Montana,"Missoula County, MontanaJudith Basin County, MontanaValley County, MontanaMusselshell County, MontanaDawson County, Montana",235.5353518,-543.72363,398.57746389633246,391.3780355199302,829.7748099652507,821.7894531014911,1361.3613447425805,1345.0345694999369,1558.630402717728,1544.8230714413135,1700.9307849110828,1692.551251972664,1678.0539358269714,1671.4544070046309,1012.9933544042624,1009.4395699396539,1288.8030867687494,1284.722301835571,1170.1420062940933,1166.7659188586047,1057.891478285539,1055.0881585292411,709.8460518147604,708.1068474647444,978.6265120381315,976.3968714195524,64392.69972355206,64255.60324256339
Nebraska,"Morrill County, NebraskaValley County, NebraskaCass County, Nebraska",124.20005712,-298.22516754000003,478177.94067657914,469540.70413685346,791.3514132575261,783.7358248308703,1765.739698435641,1744.5632229137623,1648.4638995424352,1633.8607664850374,1531.9448095353769,1524.3977758140645,1604.6041397447775,1598.2934777078783,21604.121608121182,21528.330003557687,1510.5281447501861,1505.745303556274,1607.6066059026198,1602.968347952557,1512.0768752726494,1508.070003996626,1960.9280748521678,1956.123575863786,2326.026094273143,2320.726623846099,2518.8228148678136,2513.46006807144
Nevada,"Lander County, NevadaClark County, Nevada",75.83166317,-231.8016332,36148.30250488923,35495.3626415352,8725.315578701488,8641.347304649193,19122.49850116354,18893.162817208646,11178.94910394029,11079.918921203485,118611.39894470427,118027.06704058092,38694.426861347005,38542.247613777385,2113.8972220287733,2106.481245334787,1793.0621041039062,1787.3846651733202,3159.8885310155183,3150.771637587438,2286.0275502605564,2279.969777486479,576.6932679152844,575.280303177904,20528.806431571415,20482.034900136554,37198.9296007883,37119.73052439134
New Hampshire,"Grafton County, New Hampshire",43.71401219,-71.56225601,536.7936213260801,527.0976209755638,1381.405401235777,1368.1114147590663,43122.63376914319,42605.46501586646,1332.4845224662088,1320.680534047719,13712.163822188866,13644.611674021337,54149.04334490437,53936.083460464935,838.8547853714884,835.9119140373828,698.4759974314208,696.2643870188083,716.6010163245979,714.5334829188587,634.6098728567094,632.9282122793846,568.4570385004349,567.0642534710198,578.4327866247469,577.1149220254213,122460.47873326248,122199.75196195777
New Jersey,"Mercer County, New Jersey",40.24746962,-74.6629847,8134.906706857992,7987.967445384917,13089.9078923887,12963.936864371057,18986.13005171684,18758.429831434325,3232.3615709519536,3203.727273213719,24907.645216673965,24784.9392045522,49972.2760664109,49775.74276722602,85919.68599124986,85618.26244888193,3125.432847575473,3115.536673827143,21576.660839255557,21514.40797322102,28569.755340889493,28494.04799167301,15128.700332862603,15091.633279574453,7116.57106670834,7100.357122246227,6390.614763680246,6377.0087058628815
New Mexico,"Valencia County, New MexicoChaves County, New Mexico",68.10630291,-210.48928899999999,4045.4018369802893,3972.3305185610398,5569.598568069932,5515.9994088525245,69215.8327521176,68385.7288646079,2301.825755622595,2281.4347311096335,1803.4347901793885,1794.550277440448,1462.3336035876082,1456.5824697541202,1544.9150595056394,1539.495186696267,1385.7814529927666,1381.393601867868,1266.9926213246174,1263.337101014516,1281.5865547880242,1278.1904626725402,1231.7345620190779,1228.7166708821874,1365.03016432735,1361.920166118093,1312.1948070780563,1309.401054196219
New York,"Madison County, New YorkSuffolk County, New York",83.8154647,-148.83539746,132242.7617647851,129854.08609226685,132597.1225253783,131321.0710837623,191360.26130935873,189065.28210428785,21870.81158819177,21677.06614324494,19975.90446769296,19877.494378965865,250834.48712246813,249847.99354675005,286850.325849973,285843.9972030561,1241.486327452825,1237.5553633266306,1425.7137107090261,1421.6002491638137,33192.52459048071,33104.5673076631,79931.19519135592,79735.35458334896,171481.19927354864,171090.50737779503,4857.509784411422,4847.1678124073005
North Carolina,"Burke County, North CarolinaWayne County, North Carolina",71.14253733000001,-159.53265918,12709.222421389275,12479.658171448747,262817.09956694045,260287.8731976461,47711.50213461796,47139.29918875854,486714.6797215267,482403.0540735919,297879.3030012541,296411.81857842224,439052.06674690556,437325.3422911888,277818.765243621,276844.12112813204,22105.00559045603,22035.01369278955,26849.663145015926,26772.19664103315,25825.450236352714,25757.01505528842,138141.157002731,137802.6953030975,67572.34447685817,67418.39193001324,17696.16719383,17658.490838285405
North Dakota,"Mercer County, North DakotaEddy County, North Dakota",94.86604832,-201.10668123,197.90532325554483,194.33059731354422,119445.70930941276,118296.22079370267,572.5145629916017,565.6484090279953,57358.82504340734,56850.704389774975,523.1597031890261,520.5823884600466,483.75195247769756,481.8494302255349,440.7898045902725,439.24342528491957,590.7486356231168,588.8781263449378,668.7647517336452,666.8352352617287,670.3303105893729,668.5539939808244,786.640052026368,784.7126935563404,1035.4876613105007,1033.128471853343,1142.220405128787,1139.7885394246177
Ohio,"Cuyahoga County, OhioDelaware County, OhioGreene County, OhioClermont County, Ohio",160.45720090999998,-332.83082985,3706.248884971209,3639.3036213538685,170563.4867944687,168922.06517787607,159445.42625501164,157533.20093145114,118107.24251360382,117060.97405850011,309891.6865579112,308365.0238518857,57231.563429758724,57006.48046648905,132199.9202402325,131736.136326222,11203.199970234455,11167.72686335624,12395.286821867558,12359.524006864345,146155.7758395938,145768.4758354647,14835.937426575098,14799.587676030038,273118.50124262576,272496.24535995215,14004.408484750224,13974.592137092344
Oklahoma,"Texas County, OklahomaCleveland County, OklahomaRogers County, Oklahoma",108.33331039000001,-294.60834532,269490.604786071,264622.8476171025,6072.588505161515,6014.148810779239,33782.7993813752,33377.64304672745,25940.77575064241,25710.975995850153,44046.05552381868,43829.06528744724,55819.44092047803,55599.9116185071,27360.400975419103,27264.415184881425,12536.632596403277,12496.937392428817,11306.056940571672,11273.436765775223,8212.854496725093,8191.091151676146,277703.6458542842,277023.240028753,10090.392291592698,10067.402981335938,7341.126513075107,7325.4967504505275
Oregon,"Wasco County, OregonDouglas County, OregonHarney County, Oregon",130.88437507,-362.4438473,54583.987446682244,53598.04733787811,10163.324455716713,10065.517470343808,60642.20497934334,59914.924412181885,16994.92592959581,16844.374155474827,25443.937185274735,25318.58916311038,53881.55964688575,53669.65173481555,3175.49205735936,3164.3517924288276,3236.6428151593122,3226.3945131729347,3204.3471958502414,3195.1020305210222,143343.72413014277,142963.8758167349,2508.664937935068,2502.5184207266752,5260.822833952847,5248.836908644836,3130.0016813096804,3123.3376927234203
Pennsylvania,"Allegheny County, PennsylvaniaClinton County, PennsylvaniaFranklin County, PennsylvaniaCentre County, Pennsylvania",162.54562962,-313.16922504,18625.88972690778,18289.453848860958,27567.05889160412,27301.76666979884,43480.36864567188,42958.90958626291,7621.952942397296,7554.432875378572,646646.4376432152,643460.7729637284,5145.3667014446655,5125.130763181476,4585.475115090279,4569.388345956002,7160.538283918419,7137.865606422184,6837.754386775746,6818.026134522619,65375.32295638279,65202.08407680039,15534.820768743852,15496.758673746439,106085.18940034683,105843.49162861565,497450.4997562733,496391.3934713152
Rhode Island,"Kent County, Rhode Island",41.66667273,-71.59672773,617.5611567321075,606.4062678618793,911.7638876187482,902.9895069907926,3533.6835032704994,3491.304118429478,1748.683836746328,1733.1928922674022,1059.0919731397612,1053.8744204018917,6140.862723143185,6116.711651672738,755.0782270506363,752.4292607359117,598.2571209238731,596.3628372506754,1370.650927433427,1366.6963327349551,9.737193935819626,9.711391224774609,80.4977250859736,80.30049641466104,10750.532003689765,10726.038672953358,179350.25285130064,178968.403843014
South Carolina,"Laurens County, South CarolinaClarendon County, South Carolina",68.34996379,-162.5286873,629405.0972588791,618036.2735598143,253476.95018028998,251037.6089522623,206746.94259108067,204267.43127189705,251686.43498664795,249456.83778414186,151519.14167202238,150772.69175783134,572102.3595042696,569852.368648632,193403.9566115939,192725.45662597028,71639.9886841485,71413.1523354179,523112.67330230743,521603.391425252,94701.8589512146,94450.90731996948,452369.59255125833,451261.23509661225,8283.025199796939,8264.153680169171,16957.712770467773,16921.608635116583
South Dakota,"Pennington County, South DakotaHughes County, South Dakota",88.54056471,-203.12294961999999,216.01706484355083,212.11518998284302,2214.229815094971,2192.921123821672,702.7200019835661,694.2922971899757,10746.7170755823,10651.515876800517,684.854834331616,681.4809382899748,3958.856573852798,3943.286997985871,637.737826674146,635.5005140885561,615.0919627899884,613.144374333659,619.4099130557021,617.6227948994131,659.9942792265005,658.2453521957262,758.9009760896133,757.0415815413561,5323.782645645817,5311.653276693307,387162.041184736,386337.7466040353
Tennessee,"Rutherford County, Tennessee",35.84707003,-86.38840824,92701.6358251419,91027.18393572948,3400.97405849782,3368.2447068528454,5589.723131016142,5522.685710289344,5228.758984136792,5182.439338804183,4957.136997733699,4932.715961251054,20140.39168796756,20061.18261572015,5084.536659186252,5066.699081762285,5419.538329029232,5402.3782441528565,212303.4331771667,211690.8964513632,111967.16807772484,111670.46488957014,658084.5786632955,656472.1958671055,347264.36229889933,346473.17718584323,9417.205163727987,9397.155287045722
Texas,"Randall County, TexasMarion County, TexasEl Paso County, TexasKing County, TexasPecos County, TexasEctor County, TexasJohnson County, TexasHays County, TexasMcMullen County, TexasTyler County, TexasBrazoria County, Texas",346.40641774,-1091.34426369,569393.701073464,559108.8517275429,568963.1741976216,563487.744076411,443558.031833748,438238.4505772459,403442.3271261723,399868.38050493,1135623.909298604,1130029.3265924526,1212408.5443983418,1207640.3274999585,322975.79539564665,321842.73133443506,79755.3072698709,79502.77508742253,93458.290154245,93188.64479715601,288454.2841361991,287689.9055490701,257418.21781689,256787.5136197534,78449.14870021338,78270.41513201005,44253.81266136683,44159.593254318344
Utah,"Sanpete County, UtahDuchesne County, Utah",79.62192055,-222.2499961,700.0045397281864,687.360491824263,13926.116636839117,13792.098334842027,8423.208680152171,8322.189332516196,19107.225670829757,18937.961813182465,83243.81871126805,82833.72305834746,45745.39436373122,45565.48474214688,3480.718553619798,3468.5074927399337,28542.628145755738,28452.252565431412,7187.556987484381,7166.819486645357,3026.314720267714,3018.295251335182,1273.6151432907536,1270.4946399199252,26303.331021140766,26243.403178876884,32694.070015211044,32624.46209432056
Vermont,"Orange County, Vermont",44.03042544,-72.66603564,784.1532664738454,769.9892562387644,1047.917081321894,1037.8324273200024,520.849799340021,514.6032596965669,536.1234753757938,531.3741554493579,544.4652553758486,541.7829801288374,7812.192140027439,7781.467986236538,12496.913260173837,12453.071574533476,514.6360280796536,513.0065169689037,550.889117589229,549.2996952642153,22638.482115699917,22578.492121007468,11392.581251055915,11364.668118597,892.5098158352422,890.4763780391183,3577.364749672745,3569.748294383582
Virginia,"Warren County, VirginiaWythe County, VirginiaAccomack County, VirginiaPowhatan County, Virginia",151.30680467,-312.80493406,43049.50831209506,42271.91329028301,330162.1672280398,326984.84405967494,197250.9776989244,194885.35126791164,99701.96471535381,98818.7418208601,361652.86284308124,359871.20182350866,84254.60052462571,83923.24010008544,323857.6968291616,322721.53888031485,13346.102837927087,13303.844578355249,14593.168411448307,14551.06428028059,30823.0678305151,30741.389400569693,190964.45082604632,190496.56598999497,223793.10849282288,223283.23245869164,121630.00827948935,121371.0496368276
Washington,"Snohomish County, WashingtonLewis County, WashingtonFerry County, WashingtonGrant County, Washington",189.7629539,-480.96637250000003,123435.07353290688,121205.48944566591,16077.65762937158,15922.933923419048,101024.64788083533,99813.0616063407,89236.04543514608,88445.53625543816,115453.48687012013,114884.71222939651,5287.829571754708,5267.033348867379,3247.6116113568187,3236.2183365230367,3472.2255769662343,3461.231340558402,3676.3733389389536,3665.7662863154287,3454.6730695042347,3445.518488466314,1388.6119259737916,1385.2096672784546,4315.343960168965,4305.512154001467,5229.970160226411,5218.835194497052
West Virginia,"Upshur County, West VirginiaBoone County, West Virginia",76.92893776,-161.94642301,1988.2245447082603,1952.3116256337512,366103.4250256298,362580.2203407385,1583.784993418456,1564.7906964817348,1851.9731855766277,1835.567238891829,2631.428127882646,2618.4645558970715,2331.101679452049,2321.933813990222,709.6449731057937,707.155395785423,1296.1008279068321,1291.9969358656801,1622.5570406561696,1617.875647792006,1952.7239641994538,1947.5494167342374,2535.8083409512583,2529.595319288162,14534.456483621583,14501.34209917949,14427.463871237476,14396.746809601153
Wisconsin,"Rusk County, WisconsinLanglade County, WisconsinWaushara County, WisconsinRichland County, WisconsinRock County, WisconsinWaukesha County, Wisconsin",264.05326497,-537.46710678,127531.77483650514,125228.19281840668,5381.117361520429,5329.332055505519,365841.525899005,361453.99690764205,8474.521482050306,8399.44882511526,49061.951969081885,48820.25122135302,17401.656748040557,17333.218700363283,10105.74297447037,10070.289995208605,5174.866268859737,5158.480898186766,4660.197427797576,4646.751851193834,144282.1940277199,143899.85885128443,11022.077801979784,10995.07244552199,230231.7384136101,229707.19301315493,298557.80258993537,297922.1525196245
Wyoming,"Fremont County, WyomingJohnson County, WyomingCrook County, WyomingAlbany County, Wyoming",173.8408715,-426.8729929,1714.4754512603517,1683.5072096197273,19254.544970900326,19069.24841694928,546.5130213113862,539.9587032380928,532.3689778269581,527.6529176081109,498.0197254803014,495.56626133545507,475.0825092672702,473.2140826059102,22299.050092229267,22220.82053874923,122488.03188341115,122100.19349278646,378.0293275495857,376.9386393629198,427.4472342721842,426.3145365416457,463.27638030288546,462.14129996564566,587.3769433448108,586.0387009457049,667.45207250066,666.0310211895445
