state,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
,"Capitol Region COG, Connecticut",41.60246114,-72.75108047,48.7384197887712,33.428049133273795,52.65695366500464,81.06115900095129,122.10908234577406,180.16955346360444,260.58233650467,453.5497151919925,506.5829936404805,1618.8293694288734,1730.5748885380258,1004.3268294405595,4009.283541217031,1607.6276744102631,2113.2226077724745,5137.233514508,3126.5065082532537,3877.492032933126,8308.64358532385,8329.160322017886,5025.191244190405,9546.0261540558,5585.461191999083,6141.428388500521,8604.68493265979,6105.820073110366
Alabama,"Walker County, AlabamaLowndes County, Alabama",65.81305248,-173.78644424,2.5372302201783445,2.854594664138546,5.343450059215847,9.485671106641606,16.093096336819286,26.254567056203427,41.389285560675766,63.29553216435232,94.1846334886041,136.6841325195994,193.7864171478256,268.71031898299526,418.8632180416874,480.1929526821998,624.4034487833594,843.1672057533722,978.7275869836429,1184.0916089654359,3085.2455230836254,2903.3824874645625,1154.8018042010394,3567.9696052615277,920.6774861125575,1049.2249961530053,2415.2326847891177,911.9616645127561
Arizona,"Mohave County, ArizonaGila County, ArizonaApache County, ArizonaPima County, Arizona",137.29646311,-446.5512627,1195.4860295599956,729.5703486940308,1078.9402684427773,1553.033114849658,2179.6010233700636,2985.8076707453456,3994.539698073769,6335.348605058992,6550.33054440815,37681.30087005096,35326.05186754353,4317.982305913317,30904.666926876045,5297.260799513464,6742.708373953347,31473.834834689715,7412.371313554767,9028.455281248771,27717.82222595782,25643.54878223386,8091.898182624921,19018.133374923993,10005.630084134755,12571.827511676765,20634.712090860332,17814.901619833337
Arkansas,"Johnson County, ArkansasLonoke County, Arkansas",70.17415411,-185.61652981999998,0.8787999862006725,1.0495320204474676,2.027512403980644,3.700344310139816,6.432310301960426,10.720655211187822,17.22418697042928,26.791365809766702,40.483836818382535,59.58874220213922,85.60958211594195,120.22099773455483,215.37588145566917,218.31685291494867,287.7954379450993,416.9068895589476,461.827442431549,568.1996318673625,997.0837200918621,1037.6615215923273,780.7055140054333,2473.9430020449904,572.9647530524306,633.0127870461481,1562.478098889903,449.2574220898608
California,"San Bernardino, CaliforniaSan Diego, CaliforniaCAL Fire Lassen Modoc Plumas Unit, CaliforniaSacramento County, California",147.86922547,-476.7600563,4204.605056731045,2548.2119088743366,3802.4223475704293,5539.930260400979,7891.2057244916095,10999.863487425204,15014.700867302923,87829.85787769905,19765.413462069984,62840.89862877822,65844.38049804422,34929.20284979185,238864.02757836028,43608.74701653095,55274.91987855875,244937.0882871641,61081.85335149034,73089.01078394859,230416.8420727416,208412.48784887895,51864.74071923077,134235.5921549956,48179.89477244189,53983.30805938631,100369.91180826978,50808.03931865388
Colorado,"Grand County, ColoradoCuster County, Colorado",78.13920017,-211.1419215,328.1458666533077,197.07743195827462,290.6406496681569,417.6872718601506,585.8716196795451,802.8471538292558,1075.353718847166,3209.5535611351224,1627.6154591395543,8959.73653733909,8476.844982580034,1314.422622192619,5530.095360759569,1976.5692800258935,2532.1307889378086,6627.855632176013,3448.788956245989,4133.490226709485,13062.306274805662,11834.375826388317,2993.5316673716675,7661.994801512082,2934.5440845687144,3384.9918823876887,6156.622026365265,3624.860469026905
Delaware,"Kent County, Delaware",39.04284209,-75.53282965,49.65539371056343,29.835689941369708,43.82939692546056,62.66665428759299,87.3516992892992,118.8203534838957,157.78046946436035,262.87905049404986,252.900758980676,1577.66755287186,1464.2209679041991,119.60203068096337,586.8404090998083,172.7422519378612,221.4226529758856,668.7035872516873,291.2824237950076,350.4794588251822,1025.8929856887487,942.6184968965875,289.8095012502126,787.1945624946322,261.5542496758646,295.93757275356865,579.2810844978505,282.18241129708963
Florida,"Sumter County, FloridaPalm Beach County, FloridaWalton County, Florida",85.98878229,-248.77959274,161.69193157885545,99.15830308912032,151.09589361619487,226.35506688504705,333.568306190761,483.6991125793003,690.3956102907474,3723.6969744318485,1078.0767340448187,3096.5816515456463,3491.6196545453663,2564.752993534913,4963.825592882769,4853.602356831006,6582.588887434873,10015.368484891553,11320.968655518072,14573.997596489542,25234.141637872744,28160.396834329284,25490.544407338788,52045.09876979717,33053.26062807795,40675.78952071135,60959.03512896018,56393.751025999285
Georgia,"Twiggs County, Georgia",32.65498374,-83.44185834,53.74327894316617,44.23041975965058,74.52195257431373,121.50621396608908,192.2124701494893,295.7039385128134,443.3314020587386,702.6447149249509,923.343148984035,1903.938321424232,2302.2743384141054,2239.001755207666,5741.778267096976,3703.957747375854,4753.99904504699,8470.95935393585,6978.8379852206,8326.292166676742,29648.342876959978,26338.88920288151,4587.732728267727,6357.835006878476,6002.825200299407,6739.397001636722,7877.018006993613,7670.535499226994
Idaho,"Kootenai County, IdahoCuster County, IdahoBingham County, Idaho",135.10691129,-344.2799949,3.6629824916410336,4.117151964719611,7.704611495726062,13.678762153329036,23.215147185249922,37.890291224720094,59.756871115396955,91.41048423296493,136.03289031004243,197.3879570952489,279.7353416077179,387.61418959802774,548.1040228921648,695.1342139660137,901.7003979427451,1163.3726728533707,1410.045246092614,1697.2979119784893,4731.93127865526,4378.211942909656,1475.1083391732045,4025.6044536744694,1238.9018476497704,1340.4391135129713,2707.1683183352147,1021.2171693790666
