,FIPS,total waste
0,53061,12755.576758237035
1,06071,951108.6009156483
2,51187,1309.0395990766283
3,12119,164736.94359170314
4,12099,92219.83098505565
5,26111,34752.34548665574
6,26027,1048.9970960634853
7,18017,9274.556004600778
8,18057,41975.624133440986
9,18093,7360.342110439976
10,21149,551.0624163992699
11,21113,4443.192894092717
12,06073,66300.38325460511
13,21119,125.51316413055356
14,39035,5828.0338935373275
15,39041,9180.459570266545
16,39057,1823.388221401135
17,39025,12039.321262576594
18,42003,7259.182002291282
19,54097,3420.4487833561393
20,54005,466.6001239997528
21,51197,1354.7787094364537
22,42023,1083.7302516756988
23,32015,31377.09298184329
24,42055,711.6635452788285
25,24001,13628.683485837082
26,42027,29394.228320440685
27,24003,328860.70393135736
28,51001,7537.818855597397
29,10001,9327.998425222755
30,34021,204665.8309237617
31,36053,102748.59811614588
32,36103,33078.69888019457
33,50017,16736.066285059293
34,32003,157269.4569123741
35,33009,5913.427534880439
36,25027,198532.00456735908
37,09003,69339.2698156282
38,44003,11116.226396523132
39,23021,5479.250155405438
40,16055,522.8644517301738
41,16037,16988.273182653444
42,16011,6936.907256159922
43,30063,278.26360718268586
44,30045,1271.8226654858252
45,30105,7.008997822313541
46,53041,1276.3211355495332
47,30065,358.17784832799873
48,56013,6749.699169459913
49,56019,18.08273350780423
50,56011,176.1032032539493
51,56001,140.99088572900294
52,49039,100538.27363729324
53,49013,3149.84405341014
54,04015,52269.343796528825
55,04007,195457.04984459656
56,04001,1221.493702815889
57,53019,4057.547582199531
58,04019,29905.578640683154
59,35061,35940.0203666806
60,46103,608.4351626774323
61,08049,47446.769478550836
62,08027,40185.24359976111
63,30021,66.19746062550597
64,38057,1479.385553895574
65,38027,1786.2931856556997
66,46065,2645.7554836176605
67,31123,305.09781601803223
68,53025,5007.306672663537
69,31175,2328.0592557345044
70,31025,43069.93381182736
71,27007,1062.556627352619
72,27001,81503.2347926237
73,27083,9238.09621533549
74,19161,1497.796837733044
75,55107,2167.915514030818
76,35005,19981.616695164204
77,48381,2586.343182725511
78,40139,14.39682356273494
79,41065,26202.31689229772
80,40027,18644.886733111893
81,40131,16749.71570625426
82,20109,17660.562774399623
83,20113,32115.72304480018
84,29025,4742.922245262705
85,29057,3189.0424496710743
86,05071,1001.7472717068575
87,48315,415.1551614713532
88,22097,12431.62349560465
89,48141,5075.06512795637
90,41019,13238.398639893045
91,48269,61484.86260526016
92,48371,135844.0781133734
93,48135,65788.70154274319
94,48251,52283.36841149547
95,48209,12054.380282046837
96,48311,18467.55110242786
97,48457,1301.3839359858378
98,48039,62842.38297239631
99,27013,6169.211647011043
100,19037,4490.038247391522
101,41025,9878.827605993343
102,19157,3643.0135798898214
103,29103,558.678332311738
104,29071,4003.7077711263564
105,29093,947.6993770104267
106,26071,144.2142030994932
107,55067,551.3191601074875
108,55137,4937.337043879941
109,55103,10460.069924896365
110,55105,897.390769555626
111,55133,1229.8414989627513
112,06049,5542.593202560237
113,17037,7690.340366504334
114,17117,4107.583573700599
115,17179,43514.04223241245
116,17041,37410.50692565458
117,29203,1005.9649186592865
118,05085,7832.992292252889
119,22073,255.45261567193108
120,28121,21867.11442243626
121,28017,421.5089978888461
122,01127,9143.285160380585
123,06067,529266.1454188036
124,01085,7783.686061746211
125,12131,62937.88863600454
126,47149,54630.95434878871
127,21221,16271.7851128979
128,13289,120322.55803318537
129,45059,106865.4189561047
130,45027,112714.23168204089
131,37023,71273.59140186757
132,37191,269859.9211017393
133,51145,71983.4828319451
