,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27,amount 28
54,Mohave County,35.72391313,-113.7436192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gila County,34.1838784,-111.6056914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Apache County,35.34591005,-109.516242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ferry County,47.92035993,-118.472439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pima County,32.04276153,-111.6857101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Valencia County,34.6249543,-106.5737299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pennington County,44.05773319,-103.324472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Grand County,40.03368077,-105.8666298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Custer County,38.1055194,-105.2752917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Dawson County,47.1804594,-105.0375055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mercer County,47.15958973,-102.0734343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Eddy County,47.70645859,-99.03324693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Hughes County,44.48283152,-99.79847762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Morrill County,41.74325238,-102.6958257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Grant County,47.4129124,-119.5470861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Valley County,41.52161835,-99.18350983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Cass County,40.93518639,-96.34583201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Beltrami County,48.02901973,-95.4795737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Aitkin County,46.26358649,-93.66377494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Lyon County,44.42138655,-95.74181715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sac County,42.41935156,-95.02634463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Rusk County,45.46791696,-91.39624127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Chaves County,33.48134861,-103.9155591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Randall County,34.85870122,-101.7896096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Texas County,36.74873009,-101.5000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Wasco County,44.87742596,-120.8593635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Cleveland County,35.30086027,-97.47670229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Rogers County,36.28372003,-95.63163853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Logan County,38.7673038,-101.0284679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,McPherson County,38.39197065,-97.48884753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Caldwell County,39.68010457,-93.93551551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Dade County,37.39648815,-93.63067538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Johnson County,35.49289456,-93.59063588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Marion County,32.86217276,-94.5241288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,St. Landry Parish,30.84054963,-92.01150228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,El Paso County,31.77308956,-106.2230818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Douglas County,42.80834786,-122.7941288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,King County,33.42197646,-100.4747257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Pecos County,30.79490767,-102.5121274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Ector County,31.77998214,-102.3887614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Johnson County,32.37182664,-97.11815228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Hays County,30.14290618,-98.02819061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,McMullen County,28.14593418,-98.36237296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Tyler County,30.68456443,-94.49850005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Brazoria County,29.5703565,-95.42461309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Blue Earth County,43.85294596,-93.84641518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Chickasaw County,42.91269261,-92.11168489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Harney County,43.19860125,-118.790355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Poweshiek County,41.53491879,-92.68514792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Knox County,39.96993092,-92.01395166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Franklin County,38.4997353,-91.3675038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Iron County,37.67809039,-91.06236394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Iron County,46.39589899,-88.25976999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Langlade County,45.19646292,-88.88363925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Waushara County,44.06230241,-89.11741448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Richland County,43.41560313,-90.49937312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Rock County,42.83835582,-89.33478091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Waukesha County,43.07262373,-88.23565775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,CAL Fire Lassen Modoc Plumas Unit,41.30824779,-121.4464046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,DeKalb County,41.76580781,-88.79751098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Macoupin County,39.3367648,-89.78363058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Tazewell County,40.36595616,-89.52274432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Douglas County,39.76077104,-88.32037463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Shannon County,37.05321965,-91.29205837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Lonoke County,34.68125955,-92.02589394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Ouachita Parish,32.56645631,-91.92922355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Rankin County,32.31228173,-89.94310381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Chickasaw County,33.90483098,-88.95057971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Walker County,33.64251888,-87.33420755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sacramento County,38.40912626,-121.4370073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Lowndes County,32.1705336,-86.45223669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Walton County,30.60299528,-86.0233856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Rutherford County,35.84707003,-86.38840824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Trigg County,36.88033989,-87.70288407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Twiggs County,32.65498374,-83.44185834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Laurens County,34.68340161,-82.05850213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Clarendon County,33.66656218,-80.47018517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Burke County,35.70354545,-81.46948528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Wayne County,35.43899188,-78.0631739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Powhatan County,37.64107262,-78.02222606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
