name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
"Snohomish County, Washington",47.82099062,-121.4522522,10.523164995796623,6.786649319919806,10.337083225025792,15.35889551625872,22.29961181800873,31.678395705323705,44.07282947062518,60.94510141981296,80.28235245463276,353.38885747605104,345.62445864493804,110.12261482822854,497.4615033604648,170.94023489774534,225.8437592206976,497.2377024365749,349.284170419224,441.5755558399072,1109.313005670956,1071.9181194033874,617.1897273175457,1239.7849571892034,883.0583879201301,1135.052165876233,1692.9862700182534,1757.0630436827942
"San Bernardino, California",35.12010447,-117.1590386,1816.6002057985643,1125.0048224665688,1693.9182565266838,2489.865268817688,3577.650205414608,5030.3539454700285,6926.23523531066,36050.66800839939,9775.156040606473,29482.28873914425,31036.65319028492,17971.052334960266,134300.19740377823,21537.932809079502,27350.52554313828,98764.671736721,33090.49284243065,39411.840315929774,134403.7112487464,114393.75634581552,24275.829296613927,62044.98504757259,23218.93246575856,26321.9949736636,47710.808172073695,26314.98908521551
"Warren County, Virginia",38.79110825,-78.25771359,0.09455558406094092,0.1135596656654258,0.2213756522552445,0.4076082135813849,0.7143077645920224,1.1991497073083657,1.938839889737252,3.032486760487623,4.604489102443987,6.806191890289945,9.815155768082567,13.830378549293316,30.94554833667856,24.81487307991434,32.877944963504426,49.55820738914253,53.10746628971094,65.73344438511428,91.97673490888104,101.9696591602133,101.20570670177337,322.61232154095273,73.4185091627226,81.72257885049287,203.29064709285032,64.42882385178362
"Sumter County, Florida",28.70869529,-82.19247661,95.06795056750727,59.61336287577484,91.56234070966774,138.15735069131657,204.8948448201801,298.7330217064389,428.24916255161696,1911.9157666178205,711.0393737033554,2160.950352281281,2362.931561231764,1583.9590709102472,3051.1957625362315,2910.1584611423345,3874.6149641136826,5552.285266238403,6380.247402184561,7961.962994897873,15431.300597381432,15610.886878721798,11332.766440712689,24193.545976958645,12184.265965116869,13694.47271020572,21012.251037205388,14305.015750091374
"Palm Beach County, Florida",26.67709172,-80.56373053,39.17726898238203,22.66455060417926,33.67445461423531,49.20600311294651,70.78672146279834,100.33405911795772,140.23253429936634,1096.970180237152,176.40272878969802,476.5160112308257,553.479642440029,463.7645015268032,919.6829762869938,915.7666636526088,1271.3461239035446,1885.1325077479305,2312.6675430998107,3058.998998147364,4313.94882007024,5337.212785829424,6319.798982556952,13246.682204436302,8566.612882773245,10823.397007006026,16397.861116203527,15823.62439854787
"Midland County, Michigan",43.57419001,-84.55437763,1.4943000550243244,1.5578143711568275,2.87282695695534,5.065407282217564,8.58847476466859,14.07699973214652,22.40924952080499,34.78496739813541,52.82124509676456,78.66437805388446,115.11258496021948,165.74042773291964,547.0287618379408,304.92604804172214,424.6821330441458,765.4481126175464,766.5374794936282,1027.706516559232,1685.6022602999562,2006.172349805669,2171.9973802085137,4326.313718197654,3247.062983380289,4224.335287564984,6244.1938296932185,6626.615842979342
"Cass County, Michigan",42.06225929,-85.90993949,0.20111407413104704,0.1998619245749883,0.3547274223516034,0.6013339175462419,0.9797266660900203,1.5417452841282993,2.3525498944481704,3.491502273403104,5.051791748871465,7.137921773784545,9.859888096724744,13.322692446315736,41.62253077725048,20.95715853769536,26.620872925584592,47.06569354534942,38.23927719895843,45.21355717119119,182.21052108597488,151.68155471034504,20.394896637485257,48.34687053520683,40.51212317721538,65.27995181767761,115.84078896732024,168.18277527815542
"Cass County, Indiana",40.72939342,-86.25965362,9.998228220525741,6.539036815030954,10.043126271153469,15.055951363605708,22.065794004008364,31.652065497744847,44.47531920789756,61.2545437357112,82.73047963452274,344.0264679826105,340.83473990018706,123.42686794144127,442.7862598137471,197.650580355058,256.7234339900949,487.866985097493,384.28425684817455,466.0999124949561,1211.7992108498274,1101.7931030682123,467.6161959332876,1226.5440435234627,414.58331145672753,453.80572274260646,859.4600533002458,381.5835151295335
"Hamilton County, Indiana",39.94240296,-86.10103966,8.634576388125017,6.649063654454939,10.733003956084705,16.768707869487134,25.457250286186436,37.6850308990667,54.56362161442805,77.47649859960232,108.1305245461868,211.11808740976235,254.29960603968308,253.93835807502836,2824.3018305781534,263.0954215686119,368.88464530995736,1966.8052862954528,532.8337981612686,777.499115594902,1404.749270847857,1785.575959773465,2103.273576383932,3062.668054321377,3990.929538974349,5389.971198108907,7221.584977664409,9295.62701828877
"Lawrence County, Indiana",38.87073858,-86.34789005,0.9370205279399353,1.0282076950810468,1.915978083404296,3.3949124184946102,5.758374982305756,9.401042198622688,14.838363108377552,22.724148718315504,33.86260397062264,49.20900641952443,69.85050612086988,96.9554127793998,200.73709393249,169.8049598158055,221.37407135556975,322.4749618058652,345.920406388459,419.72459227088825,1040.9474453914024,956.1299169458066,437.80531020387286,1218.1047980621006,361.613176881261,391.7280972584465,803.9204431528477,296.4219036109014
"McLean County, Kentucky",37.49153121,-87.22032662,0.02944057137650585,0.0337578292057686,0.064365054649718,0.1162821122539634,0.2004547858489278,0.3316901825965653,0.5294060876906254,0.8183148735635776,1.228909146117087,1.7975435507725248,2.5658223341904174,3.578931572128534,8.447348553423799,6.250397279013111,8.20214253924295,12.62351219438692,13.00976213571382,16.09409331245803,27.48407519174153,29.263474759304412,25.82496244510222,83.51440955825406,31.536897352744933,49.21520562285291,106.71917688578266,121.58204046885436
