name,latitude (deg),longitude (deg),area cost factor
New York,40.6943,-73.9249,1
Los Angeles,34.1139,-118.4068,1.0660377358490565
Chicago,41.8373,-87.6862,0.9716981132075472
Miami,25.7839,-80.2102,0.7830188679245282
Dallas,32.7936,-96.7662,0.8207547169811321
Philadelphia,40.0077,-75.1339,1.009433962264151
Houston,29.7863,-95.3889,0.8207547169811321
Atlanta,33.7627,-84.4224,0.8207547169811321
Washington,38.9047,-77.0163,0.9811320754716981
Boston,42.3188,-71.0846,1.1037735849056602
Phoenix,33.5722,-112.0891,0.8773584905660378
Seattle,47.6211,-122.3244,1.028301886792453
San Francisco,37.7562,-122.443,1.0660377358490565
Detroit,42.3834,-83.1024,0.9811320754716981
San Diego,32.8312,-117.1225,1.0660377358490565
Minneapolis,44.9635,-93.2678,1.028301886792453
Tampa,27.9942,-82.4451,0.7830188679245282
Denver,39.7621,-104.8759,0.9622641509433961
Brooklyn,40.6501,-73.9496,1
Queens,40.7498,-73.7976,1
Riverside,33.9381,-117.3948,1.0660377358490565
Baltimore,39.3051,-76.6144,0.9528301886792453
Las Vegas,36.2333,-115.2654,1.1132075471698113
Portland,45.5372,-122.65,1.0566037735849056
San Antonio,29.4658,-98.5253,0.8207547169811321
St. Louis,38.6358,-90.2451,0.9339622641509434
Sacramento,38.5667,-121.4683,1.0660377358490565
Orlando,28.4772,-81.3369,0.7830188679245282
San Jose,37.3019,-121.8486,1.0660377358490565
Cleveland,41.4767,-81.6804,0.8773584905660378
Pittsburgh,40.4396,-79.9762,1.009433962264151
Austin,30.3004,-97.7522,0.8207547169811321
Cincinnati,39.1413,-84.5061,0.8773584905660378
Kansas City,39.1239,-94.5541,0.9339622641509434
Manhattan,40.7834,-73.9662,1
Indianapolis,39.7771,-86.1458,0.9056603773584905
Columbus,39.9862,-82.985,0.8773584905660378
Charlotte,35.208,-80.8304,0.8396226415094339
Virginia Beach,36.7335,-76.0435,0.8679245283018867
Bronx,40.8501,-73.8662,1
Milwaukee,43.0642,-87.9673,1.028301886792453
Providence,41.823,-71.4187,1.0943396226415094
Jacksonville,30.3322,-81.6749,0.7830188679245282
Salt Lake City,40.7777,-111.9306,0.9716981132075472
Nashville,36.1715,-86.7843,0.7924528301886792
Richmond,37.5295,-77.4756,0.8679245283018867
Memphis,35.1046,-89.9773,0.7924528301886792
Raleigh,35.8325,-78.6435,0.8396226415094339
New Orleans,30.0687,-89.9288,0.8113207547169811
Louisville,38.1663,-85.6485,0.8207547169811321
Oklahoma City,35.4676,-97.5136,0.830188679245283
Bridgeport,41.1918,-73.1953,1.1037735849056602
Buffalo,42.9016,-78.8487,1
Fort Worth,32.7811,-97.3473,0.8207547169811321
Hartford,41.7661,-72.6834,1.1037735849056602
Tucson,32.1545,-110.8782,0.8773584905660378
Omaha,41.2627,-96.0522,0.8773584905660378
El Paso,31.8479,-106.4309,0.8207547169811321
Honolulu,21.3294,-157.846,2.3679245283018866
McAllen,26.2273,-98.2471,0.8207547169811321
Albuquerque,35.1053,-106.6464,0.8773584905660378
Birmingham,33.5277,-86.7987,0.8113207547169811
Sarasota,27.3386,-82.5431,1
Dayton,39.7797,-84.1998,0.8773584905660378
Rochester-LiCycle,43.168,-77.6162,1
Fresno,36.7831,-119.7941,0.8207547169811321
Allentown,40.5961,-75.4756,1.009433962264151
Tulsa,36.1284,-95.9042,0.830188679245283
Cape Coral,26.6446,-81.9956,0.7830188679245282
Concord,37.9722,-122.0016,0.8396226415094339
Colorado Springs,38.8674,-104.7606,0.9622641509433961
Charleston,32.8153,-79.9628,0.8679245283018867
Springfield,42.1155,-72.5395,0.9716981132075472
Grand Rapids,42.962,-85.6562,0.9811320754716981
Mission Viejo,33.6095,-117.655,1.0660377358490565
Albany,42.6664,-73.7987,1
Knoxville,35.9692,-83.9496,0.7924528301886792
Bakersfield,35.3529,-119.0359,1.0660377358490565
Ogden,41.2278,-111.9682,0.9716981132075472
Baton Rouge,30.4418,-91.131,0.8113207547169811
Akron,41.0798,-81.5219,0.8773584905660378
New Haven,41.3112,-72.9246,1.1037735849056602
Columbia,34.0376,-80.9037,1.0660377358490565
