,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27,amount 28
0,Snohomish County,47.82099062,-121.4522522,0.42543019013284405,0.3443034867965276,0.5701217644347192,0.9148372375426624,1.4270888456331616,2.169415900108981,3.219867658383106,4.672948044786061,6.639637555221414,9.246281281555424,12.632263294007332,16.946662351237233,22.50122176404238,48.85029037983264,52.738199734642286,93.34661262951256,219.07309039392587,125.54595064754888,177.4970633611649,151.02199205766803,60.27451779159675,82.29444482798027,110.91730198054604,147.6807881729811,194.424950572023,253.37242078648487,327.19868505659934,419.02362762255575
1,state,35.12010447,-117.1590386,138.00306666047481,100.49604443481134,160.41864806045766,248.9907804765884,376.5854939668351,555.9440324659696,802.1712764028035,1132.4702537781982,1565.527080076654,2120.477335081088,2815.431662320396,3665.605669964723,9609.773402967448,6269.548508682724,7351.244861683692,24535.23262997864,62517.07629754433,16945.683703002636,23930.394049861414,9732.089985010523,2132.8811455525947,2687.485771845557,3317.4027963861345,4011.399631615865,4754.237414705393,5531.164774133215,6334.548420103052,7170.475281766026
2,Warren County,38.79110825,-78.25771359,0.003345041104696341,0.0046391481030259,0.0098554430449491,0.0196774298476474,0.0371541001606915,0.066755312379301,0.1147898265091451,0.1898749258465836,0.3034391370611907,0.4702203783766017,0.7086920130928958,1.0413062244471776,1.4943871284763837,2.097438924537927,2.881569861145191,5.71544606754255,10.833323554541613,7.706489449228249,10.2038643458974,54.65308750984688,6.440703936542196,7.960166118153125,9.63816492971143,11.447211612337512,13.376543575331716,15.465794875556997,17.85100760925703,20.815849151847075
3,Sumter County,28.70869529,-82.19247661,6.429020638914484,4.441203737146749,6.977972149638198,10.744342718370593,16.252237686288694,24.18356743328149,35.42332959802023,51.09114614118904,72.57026665957841,101.5350142378456,139.9807124132719,190.2633221944824,496.5699875339469,386.48382006521257,472.0918409426214,630.997598928585,1079.880342452882,1667.6821154990694,2301.695947688752,3546.805105512759,1190.2411798226092,1493.1790038297988,1832.0785696388537,2197.124057830516,2574.867426234364,2950.65224114948,3312.639930615212,3656.493678006953
4,Palm Beach County,26.67709172,-80.56373053,3.4816508727066453,2.266088988507926,3.4464001465434486,5.121035887706276,7.455632817677891,10.656707864148864,14.977527785091594,20.7259502606214,28.27707188171352,38.09567126322698,50.77642180261113,67.11305443256607,254.95031039742548,102.48567752730784,135.23045243689373,204.36170740408025,355.86865235464666,356.7670917891125,497.6257194217367,1731.1165849098386,653.2669771562823,888.9551464500164,1191.7689617042338,1575.0389807678207,2053.363800726914,2642.394145167355,3358.1360097778816,4215.148940129558
5,Midland County,43.57419001,-84.55437763,0.07387706369937469,0.0905086254338913,0.1786859438308479,0.3345272856233074,0.5979366607045724,1.0265739218475805,1.702455740013513,2.741286672356723,4.305418563273662,6.621246154555438,10.00161482487808,14.873436478279276,21.810206951524503,31.568584656458903,45.12782693390897,112.00657526641756,239.26387906091745,150.96476232488274,215.34203262481125,519.4342600432338,229.72805108576657,321.4461609989839,442.7776100009097,600.7667116823028,803.3121864565616,1058.9057314774184,1376.040307787651,1762.0541334829147
6,Cass County,42.06225929,-85.90993949,0.007784782698639558,0.0097603163200904,0.0191481370316497,0.0353585429429017,0.0620297488746852,0.1041410766482572,0.1682992139228977,0.2630176686105254,0.3989494627810087,0.5890070099664396,0.8482673646218695,1.1935179911456215,1.6422571697616466,2.2109454767646537,2.912349979881205,7.4672420149638175,16.293816291885697,23.526551040525987,33.3995277246076,5.37900226856378,1.4601377439680256,2.2144467265743244,3.4426221998793545,5.469192972904653,8.825884213523842,14.36391917223276,23.414726508946902,38.01418015876145
7,Cass County,40.72939342,-86.25965362,0.3930499176184127,0.3190303575599226,0.5304047074952408,0.8554709434433626,1.3424327716765574,2.0540986693006804,3.0699029803003186,4.487225409690821,6.42151510141468,9.004664002806123,12.381099310420042,16.701213627219857,22.11200874595172,47.54906969171265,51.58135396482722,82.04397812671192,183.5691443483257,143.0429535350713,200.02898455770213,197.02150816752,40.53211268152086,50.246894629085816,60.81887132687042,71.80150497801436,82.6248882256066,92.69245926292092,101.5302269343359,108.94836475053808
8,Hamilton County,39.94240296,-86.10103966,0.5772825065380114,0.6043734371369939,1.0952754249979295,1.8892918225593136,3.123978859225197,4.980343152258327,7.69209047068107,11.556578152198137,16.9473628660915,24.327526667885813,34.262028397048965,47.426356641304615,64.60818626400338,91.7137647504716,118.64649583999598,532.1588131508855,1387.8331995596511,126.14422093549013,189.17176599464,206.05166194899843,260.783542025132,379.48074112543816,541.4750079101483,758.3709465614833,1043.2192198591565,1409.8422247795618,1871.5411962216456,2438.935311548629
9,Lawrence County,38.87073858,-86.34789005,0.028840044698044902,0.0396886976239054,0.0824623059752863,0.1607871959287054,0.2967805219078212,0.5223172720862337,0.8817441802905044,1.434855431892571,2.259957233303004,3.456700696042351,5.148140229677051,7.481163423441662,10.624040130180235,14.759392835517229,20.070507777334928,37.40392034291597,68.0855379410456,120.7444023795265,168.41866453424385,199.83316230706995,35.214191443400914,43.42533666284234,52.24578374422465,61.25014931122944,69.91042727454153,77.68826896458809,84.17307306889519,89.22753234625537
