,FIPS,total waste
0,53061,15300.54677362598
1,06071,1161621.3609341765
2,51187,1510.5903967065556
3,12119,195186.31857306277
4,12099,112688.70335717988
5,26111,42725.4420754249
6,26027,1242.7331790427957
7,18017,10868.26043632644
8,18057,53550.08292031424
9,18093,8535.209938736654
10,21149,646.3187064897512
11,21113,5402.617765684716
12,06073,80730.86686724877
13,21119,142.23244170984108
14,39035,6776.581822525694
15,39041,11581.148775821683
16,39057,2201.8316149637835
17,39025,14847.61739753756
18,42003,8705.770026174578
19,54097,4271.1374477031895
20,54005,585.9791596482992
21,51197,1631.8825095776745
22,42023,1320.2554329451225
23,32015,37365.59184626053
24,42055,884.0450897273273
25,24001,16324.064323855586
26,42027,34503.56606192549
27,24003,397389.00984781847
28,51001,8537.946507877947
29,10001,10830.384077791785
30,34021,239551.35823623923
31,36053,121111.87941100268
32,36103,38712.847139174555
33,50017,19791.65323936616
34,32003,186473.91415831237
35,33009,6870.043077277065
36,25027,237039.4877439887
37,09003,82821.62471893374
38,44003,13032.430635904182
39,23021,7256.087395822502
40,16055,629.178793529888
41,16037,19330.668435022868
42,16011,8168.2477137036385
43,30063,327.3387082694792
44,30045,1438.2997274687505
45,30105,8.210888503781586
46,53041,1502.6643520473608
47,30065,409.1809646274094
48,56013,7568.7502994452325
49,56019,21.382685682237195
50,56011,215.5207342982549
51,56001,167.71541861990778
52,49039,115945.0640273741
53,49013,3765.015641314223
54,04015,64186.03125172285
55,04007,231424.62709839593
56,04001,1544.9478777005006
57,53019,4754.888300850309
58,04019,36235.29081242262
59,35061,43154.74788658469
60,46103,748.6482635109294
61,08049,55500.91256773352
62,08027,46808.9319569021
63,30021,77.32821937404415
64,38057,1851.030309485815
65,38027,2232.123925291012
66,46065,3314.252984453611
67,31123,384.03958348808317
68,53025,6161.567496935048
69,31175,2801.5485119315626
70,31025,53028.61651627634
71,27007,1216.1696559407494
72,27001,92601.10669218501
73,27083,10432.927314661192
74,19161,1797.8448044696029
75,55107,2508.1129033827165
76,35005,22765.65447666608
77,48381,3062.6351000204177
78,40139,17.982833788417192
79,41065,30581.24482347686
80,40027,22770.162675172967
81,40131,20870.06158138159
82,20109,22285.205928978678
83,20113,40137.86593864407
84,29025,5711.443530311326
85,29057,3983.9335814767774
86,05071,1166.2069503413131
87,48315,491.42757606466364
88,22097,15260.816789355995
89,48141,6312.969874642848
90,41019,15709.137738819481
91,48269,73690.07972765964
92,48371,161446.27778617284
93,48135,77919.10178179543
94,48251,63485.30000883891
95,48209,14217.888491070355
96,48311,22102.302374812047
97,48457,1557.9059811897166
98,48039,77925.47193726196
99,27013,6995.6767874310735
100,19037,5604.9716136856405
101,41025,11649.431352275928
102,19157,4345.631903964506
103,29103,683.2133513968354
104,29071,5076.017671684452
105,29093,1132.9966223694228
106,26071,173.67120637934238
107,55067,660.2724498126829
108,55137,6017.88656052477
109,55103,12921.808031826402
110,55105,1054.4337987913486
111,55133,1487.520377075002
112,06049,6728.358151549719
113,17037,8962.915031589762
114,17117,4994.025288572487
115,17179,53995.18088012748
116,17041,46429.463780840844
117,29203,1249.3920745539658
118,05085,9088.850814155536
119,22073,311.06877330729355
120,28121,25637.216445239006
121,28017,494.49059718375486
122,01127,10956.36171893617
123,06067,638258.1855488325
124,01085,8762.822124546085
125,12131,76497.92660106075
126,47149,67131.8019150068
127,21221,20108.860702152586
128,13289,141632.102277277
129,45059,132947.99998996823
130,45027,135166.27386678377
131,37023,83509.29459265177
132,37191,316515.63848709513
133,51145,86373.96101320129
