name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5
"Minot, ND",48.2325095,-101.2962732,0.3385,0.337,0.328,0.3135,0.296
"Grand Forks, ND",47.9252568,-97.0328547,0.4375,0.4355,0.424,0.405,0.383
"Jamestown, ND",46.9105438,-98.7084357,0.1275,0.127,0.1235,0.1185,0.112
"Fargo, ND",46.8771863,-96.7898034,0.874,0.8695,0.8465,0.8095,0.7645
"Dickinson, ND",46.8791756,-102.7896242,0.1475,0.1465,0.1425,0.1365,0.129
"Mandan, ND",46.8266603,-100.8895762,0.152,0.151,0.147,0.1405,0.133
"Bangor, ME",44.8011821,-68.7778138,1.964,1.954,1.9025,1.819,1.7185
"Plattsburgh, NY",44.6994873,-73.4529124,0.2535,0.2525,0.2455,0.235,0.222
"Ogdensburg, NY",44.6942291,-75.4863364,0.141,0.1405,0.137,0.131,0.1235
"Augusta, ME",44.3106241,-69.7794897,1.1375,1.132,1.102,1.0535,0.9955
"Waterville, ME",44.5520105,-69.6317121,0.9345,0.93,0.9055,0.8655,0.818
"Bellevue, WI",44.44416,-87.920099,0.2975,0.296,0.2885,0.2755,0.2605
"Suamico, WI",44.6319369,-88.0392708,0.232,0.2305,0.2245,0.2145,0.203
"Pierre, SD",44.3683156,-100.3509665,0.1535,0.1525,0.1485,0.142,0.134
"Auburn, ME",44.0978509,-70.2311655,1.3705,1.3635,1.3275,1.2695,1.199
"Lewiston, ME",44.100351,-70.2147764,2.175,2.1645,2.107,2.0145,1.9035
"Portland, ME",43.661471,-70.2553259,3.935,3.915,3.812,3.6445,3.443
"South Portland, ME",43.6414716,-70.2408811,1.486,1.479,1.44,1.3765,1.3005
"Westbrook, ME",43.6770252,-70.3711617,1.04,1.0345,1.0075,0.963,0.91
"Biddeford, ME",43.4925843,-70.4533844,1.265,1.2585,1.2255,1.1715,1.1065
"Saco, ME",43.5009176,-70.4428286,1.0985,1.093,1.0645,1.0175,0.9615
"Glens Falls, NY",43.3095164,-73.6440058,0.1865,0.1855,0.1805,0.173,0.163
"Fulton, NY",43.3228462,-76.4171585,0.151,0.15,0.146,0.14,0.132
"Oswego, NY",43.4553461,-76.5104973,0.23,0.229,0.223,0.213,0.2015
"Rome, NY",43.2128473,-75.4557304,0.428,0.426,0.4145,0.3965,0.3745
"Auburn, NY",42.9317335,-76.5660529,0.3515,0.3495,0.3405,0.3255,0.3075
"Saratoga Springs, NY",43.0831301,-73.7845651,0.3375,0.3355,0.327,0.3125,0.295
"Lockport, NY",43.1706128,-78.6903098,0.2685,0.267,0.26,0.249,0.235
"Niagara Falls, NY",43.0944999,-79.0567111,0.637,0.634,0.617,0.59,0.5575
"North Tonawanda, NY",43.038668,-78.8642034,0.4005,0.3985,0.388,0.371,0.3505
"Rochester, NY",43.1547845,-77.6155568,2.672,2.659,2.5885,2.475,2.338
"Wyoming, MI",42.9133602,-85.7053085,2.4935,2.481,2.4155,2.3095,2.182
"Gloversville, NY",43.0528506,-74.3437467,0.199,0.198,0.1925,0.184,0.174
"Fairmount, NY",43.0472886,-76.2385383,0.1295,0.129,0.1255,0.12,0.1135
"Syracuse, NY",43.0481221,-76.1474244,1.842,1.833,1.7845,1.706,1.612
"Mason City, IA",43.1535728,-93.2010367,0.4015,0.3995,0.389,0.372,0.3515
"Spencer, IA",43.1413578,-95.1444393,0.1605,0.16,0.1555,0.149,0.1405
"Oneida, NY",43.0925684,-75.6512931,0.1445,0.144,0.14,0.134,0.1265
"Batavia, NY",42.9981156,-78.1875167,0.1965,0.1955,0.19,0.182,0.1715
"Buffalo, NY",42.8864468,-78.8783689,3.316,3.2995,3.2125,3.071,2.9015
"Lackawanna, NY",42.8256142,-78.8233664,0.23,0.229,0.223,0.213,0.2015
"Amsterdam, NY",42.9386856,-74.1881858,0.2365,0.235,0.229,0.219,0.207
"Canandaigua, NY",42.8742314,-77.2880382,0.134,0.133,0.1295,0.124,0.117
"Geneva, NY",42.8689552,-76.9777436,0.1685,0.1675,0.163,0.156,0.147
"Schenectady, NY",42.8142432,-73.9395687,0.8395,0.835,0.813,0.7775,0.7345
"Storm Lake, IA",42.6410915,-95.2097179,0.1515,0.151,0.147,0.1405,0.1325
"Oneonta, NY",42.4528571,-75.0637746,0.1765,0.1755,0.171,0.1635,0.1545
"Wixom, MI",42.5247555,-83.5363268,0.4665,0.4645,0.452,0.432,0.4085
"Lawrence, MA",42.7070354,-71.1631137,2.556,2.543,2.476,2.367,2.2365
"Lynn, MA",42.466763,-70.9494939,3.023,3.0075,2.9285,2.7995,2.645
"Salem, MA",42.51954,-70.8967155,1.3835,1.3765,1.34,1.2815,1.2105
"Beverly, MA",42.5584284,-70.8800491,1.322,1.3155,1.2805,1.2245,1.1565
"Gloucester, MA",42.6159286,-70.6619888,0.9635,0.9585,0.9335,0.8925,0.843
"Newburyport, MA",42.8125913,-70.8772751,0.583,0.58,0.5645,0.54,0.51
"Peabody, MA",42.5278731,-70.9286609,1.715,1.7065,1.6615,1.5885,1.5005
"Mount Pleasant, WI",42.697431,-87.855774,0.5355,0.5325,0.5185,0.4955,0.4685
"Albany, NY",42.6525793,-73.7562317,1.242,1.2355,1.203,1.15,1.0865
"Cohoes, NY",42.7742446,-73.7001187,0.205,0.204,0.199,0.19,0.1795
"Cortland, NY",42.6011813,-76.1804843,0.2435,0.2425,0.236,0.2255,0.213
"North Adams, MA",42.700915,-73.1087148,0.4585,0.4565,0.4445,0.425,0.4015
"Everett, MA",42.40843,-71.0536625,1.3945,1.3875,1.351,1.2915,1.22
"Lowell, MA",42.6334247,-71.3161718,3.5645,3.547,3.4535,3.3015,3.119
"Marlborough, MA",42.3459271,-71.5522874,1.2885,1.282,1.248,1.193,1.1275
"Waltham, MA",42.3764852,-71.2356113,2.029,2.019,1.9655,1.879,1.7755
"Cambridge, MA",42.375097,-71.1056079,3.519,3.5015,3.4095,3.2595,3.0795
"Malden, MA",42.4250964,-71.066163,1.9895,1.9795,1.9275,1.8425,1.741
"Medford, MA",42.4184296,-71.1061639,1.88,1.8705,1.821,1.741,1.645
"Melrose, MA",42.4584292,-71.0661633,0.903,0.8985,0.875,0.8365,0.79
"Newton, MA",42.3370414,-71.2092214,2.8495,2.835,2.7605,2.639,2.493
"Worcester, MA",42.2625932,-71.8022934,6.0585,6.0285,5.8695,5.611,5.301
"Fitchburg, MA",42.5834228,-71.8022956,1.349,1.3425,1.307,1.2495,1.1805
