name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26
"Snohomish County, Washington",47.82099062,-121.4522522,8.50388948357326,5.562600823765678,8.527083527159373,12.751719234121165,18.63756917203253,26.661589763053456,37.37244266876165,52.154574352135526,69.25750944503602,284.0997974298777,286.48551495710586,104.90965262308822,446.7124259609965,166.40356606480844,220.4871541769985,596.1676602821591,329.6136970263316,419.8789125803347,987.3271306656674,1015.4986721850833,619.0519143729082,1169.5660912694352,888.4723463077507,1122.3450541457096,1615.206457507434,1663.9929894006705
"San Bernardino, California",35.12010447,-117.1590386,1610.5539498922603,1007.4337236813859,1523.7011031338043,2249.488566301464,3246.1422031138545,4583.6232534908395,6338.007268451439,32974.931637843576,9049.72799098559,24890.31322515408,27087.659580079213,17540.146441763405,119644.11865446792,21814.052496366858,27582.18093057729,132317.16624072363,29052.127777126978,34777.435440193614,113643.58976694664,103961.57548028682,23343.534258241092,56275.54338104477,24324.264137023678,28199.41804382386,48221.96126749065,31186.17762684617
"Warren County, Virginia",38.79110825,-78.25771359,0.08635701722058758,0.1021877479472076,0.1984503061229572,0.36530462720275186,0.6427525551806137,1.0889238646432235,1.7873078729155756,2.85653229273373,4.463143947224197,6.837668443815796,10.293935362126948,15.251252362722067,32.63470294937042,31.239473914450592,44.49655686519931,73.01824378616725,85.2450352622548,116.76017424006453,168.2403205796047,218.74443986611678,273.38739061604304,536.3279542480404,422.7285035222243,555.6971072289925,819.3644298569894,891.2566425902859
"Sumter County, Florida",28.70869529,-82.19247661,81.04750960602262,50.85667201147776,78.2544715302036,118.38158969054169,176.18405838372178,258.0901394035961,372.3216426538828,1723.8231696812124,626.5653791849721,1795.884888409941,2041.7442057382418,1521.9299829822708,2901.5189361062135,2934.6963292512605,4017.8889744126523,6167.442695571164,7061.9867073328205,9204.913449806601,16519.961780688733,18640.278831686846,16763.020329031,30419.829053609497,23767.049102346708,29576.465321392552,41575.94589149871,42607.88299912133
"Palm Beach County, Florida",26.67709172,-80.56373053,34.720950873392155,20.03547842491018,29.748291801191954,43.45478292467494,62.52335391954352,88.69281574674993,124.16068404817705,996.7751979342285,155.2212724104237,398.4624442253607,477.67844993151004,427.39839047527204,839.8754382000222,858.7767575622713,1203.0404674145043,1885.0399937929014,2223.7522764924965,2978.367659523825,4202.916283333235,5324.756917882063,6445.611139999862,12729.91636071056,9270.250711916153,11842.515174154956,17455.159364283587,17877.646632489796
"Midland County, Michigan",43.57419001,-84.55437763,1.4216490388572867,1.4616503152896079,2.6787754805761756,4.698484709945343,7.928643623353771,12.933343737673429,20.477820198911804,31.582054211851336,47.58186740063352,70.19397237227274,101.57831168563382,144.38742147972044,474.2113216509382,256.9828193128942,351.37159532383043,749.4694597717198,593.1135832329446,780.6985164767382,1281.2438187712705,1507.386666751147,1532.0258776653975,3227.90056797574,2132.2760006478616,2729.8646841055997,4167.784750661051,4103.576988104979
"Cass County, Michigan",42.06225929,-85.90993949,0.18200863553768376,0.18044628875425972,0.32252040907336765,0.5577528972669861,0.9462043848299049,1.5935418556031573,2.6859797970357877,4.545000093525739,7.708022027679426,13.041593497625762,21.893923725847163,36.29368971223181,80.16741487919552,93.24938074744493,147.13525356260473,248.77801242633913,342.2783520485302,510.102373757389,853.4347104355508,1158.2467058493394,1477.9609341252217,2088.4612661206834,2851.815441709702,3862.1377909134962,5147.269592420408,6710.5410267313955
"Cass County, Indiana",40.72939342,-86.25965362,8.054819361349635,5.340730006084228,8.25376802234847,12.449916651808536,18.358917275168846,26.498996234692083,37.47399242578787,51.961553827691034,70.69128196738157,276.1462036413943,281.53043048358376,113.833325868685,395.4319444802975,185.34454779411513,242.4818735768793,556.0512005937438,359.879815564034,444.90226175527187,1082.7695059110413,1068.613737129854,533.064996836319,1228.4890035141432,604.2204528854538,720.7663836299392,1177.1780896760802,886.8201052890803
"Hamilton County, Indiana",39.94240296,-86.10103966,8.374179896342746,6.608261738238563,10.75441416105306,16.916493559164127,25.819267734694982,38.358530651561914,55.61246746483243,78.8399216544225,109.45650922627573,197.43910235856748,240.9569239237847,248.3734874819295,2491.129845901343,246.43027084782733,318.33129339825837,2607.5024753292664,242.60098017273992,338.2009313363242,703.3552571732519,824.6429738227682,772.0804232632408,1174.7226380299508,1420.4255948925313,1909.0112146332935,2584.199126513099,3259.7988570489656
"Lawrence County, Indiana",38.87073858,-86.34789005,0.8292756758319061,0.905897487331625,1.6858836665243109,2.9848748034299986,5.0611672315202325,8.263451982425407,13.049322489430857,20.00298162921373,29.849186843995223,43.45865304256164,61.837770778494274,86.09280303465873,177.6530854177097,152.13276288299,199.43142244264934,317.0460087046451,313.42841893524593,384.714616872526,910.0724354310876,895.0243905837516,445.8741290697594,1135.1738481032253,441.31748247732094,509.39649137651867,920.5513011709603,541.8332307863692
"McLean County, Kentucky",37.49153121,-87.22032662,0.02684328597084212,0.0311861115052275,0.0634471404384296,0.1316213564320513,0.2823870121727265,0.6191319320098752,1.3536024614835764,2.8884006522396,5.94041442486925,11.716190497567892,22.150982059401002,40.223638178656174,73.47187487914024,118.69836597112217,194.59883267983537,313.2446877851587,481.0977758445852,729.7021816837237,1089.3548897469755,1579.836033602624,2244.255364672528,3188.682665146139,4321.667620975602,5852.412785142968,7810.186914126836,10164.961233241404
"Jessamine County, Kentucky",37.83050346,-84.51931615,0.25667653278217484,0.2935445143964548,0.557201952003601,1.0129948467708745,1.7876650128800513,3.09614476968053,5.303218482445846,9.018520848171947,15.234949104146123,25.521020569470263,42.27777158856814,69.07043731604014,114.19895539729376,175.19622062419543,271.88729028886917,417.46401461253276,619.4876451836665,910.9814645762134,1487.3312659865112,2009.5287332645653,2563.3375676630144,3816.0163415471975,4814.926535870175,6500.559337280802,8765.690003067055,11200.96184980655
"San Diego, California",33.03174695,-116.7176058,190.7856701038449,106.31889055641017,153.5046940991605,216.52700694405752,298.6973507484703,403.2119743908688,532.7548164192378,5587.217916742424,399.1460100817238,1100.1511971580744,1208.9319580739264,810.9349697090942,4337.183903490598,1146.6977178879338,1475.7957578952376,5170.663933959833,1883.0738318408187,2297.7517970129425,6206.44426701051,5934.387564384679,2312.89006324447,5580.1787391714915,2461.533469510728,2887.3675226301516,4919.011000039953,3310.9436954592757
"Knott County, Kentucky",37.37099172,-82.8503912,0.009928635703751732,0.0115849544365938,0.0224639961777352,0.041721701609867504,0.0751669875896094,0.13274701915372158,0.2314478701749319,0.39976537530388456,0.6842242330511318,1.158446418909084,1.9352738184114595,3.18243155673378,6.290581561284919,8.068996556966184,12.588069964275714,20.424162431863984,28.7667424015656,42.449476966118866,63.24404335161959,89.06557856472688,122.3722252386353,188.44190098043444,226.07034377707205,304.80477745678866,414.66695906664484,523.055698176426
"Cuyahoga County, Ohio",41.28166353,-81.83937601,13.338908239329204,8.179197128131825,12.143001191769821,17.56573026178909,24.80572064049965,34.242114721674234,46.24707014408571,62.51648622651982,79.05251925998878,442.93097387437626,422.0731753373902,65.97720683274454,287.5353808380381,109.35939969473392,149.11099858640108,399.7673384013026,241.48311913451366,320.674002387051,578.3520101102442,669.5228599813702,637.6897932354443,1291.8246029982656,952.9903657928571,1244.6812803561486,1862.3365292503822,1962.7003943076024
"Delaware County, Ohio",40.17734323,-82.81856565,46.53194104820259,26.57872234764603,38.39647340802197,54.027985703127,74.1454328096306,99.30726560854573,129.8256717587467,758.6161460347141,148.68305656830236,901.2956040496302,845.1131364203391,82.33284190571122,555.4960121404199,112.1837147308652,149.4625562655841,647.9925326858868,198.92832292749662,263.0630229407305,524.5064293380079,586.2743638233402,496.4040469668743,932.8399615049341,763.6917366940116,990.6939271361994,1425.1539480928923,1544.7482608862229
"Greene County, Ohio",39.78941957,-83.9413805,6.337497683480456,3.6875981069272097,5.372373718016534,7.635088129940083,10.61198280501573,14.461921490780174,19.37840151046948,90.89139058141829,27.223135593420267,144.7583089761855,142.99057919285275,39.08210763498717,158.9664758866056,88.89061133406541,139.11444662080663,312.27585428913835,309.72864829539634,462.61449973765986,696.703606854827,989.4588232826942,1369.4060059577384,1963.5185756609444,2593.802772048013,3495.7869879734726,4663.751013058356,6019.550273268861
"Clermont County, Ohio",39.20877458,-84.23150769,4.246268098872883,2.6865403615588255,4.092949173468411,6.121963644050277,9.011827170783079,13.080943656045003,18.753637192499088,26.59561604031267,37.36345164799979,157.59090548030642,163.64716950924327,72.67580150339614,218.68471670807799,149.35779259309948,217.04107352248246,422.7595804013571,423.0360817866284,589.9992235129307,835.439201930802,1114.713493081081,1447.1731924956607,1946.251521319442,2452.613968527778,3136.8252570260056,3983.888065522847,4925.533271951015
"Allegheny County, Pennsylvania",40.37731547,-79.86635294,27.109144713308893,16.383276418983424,24.112613056812307,34.538268451332776,48.23506704686904,65.7575969136164,87.56523796908346,133.90331356582055,142.86115317673546,864.3848459980883,811.3287832957975,81.89231641168696,565.9409140363155,115.13147586787426,157.35605002739325,674.1057357128414,228.05768624922652,313.67982973329526,574.0897121929827,689.8039074821468,705.4101167311787,1153.7426126668074,1204.6956176849365,1591.2882817018813,2186.061392850462,2619.7825336932765
